Time Temperature (°F) Dew Point (°F) Humidity (%) Wind Speed (mph) Pressure (in) Precipitation (in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max Avg Min
74 51.5 34
77 56.3 34
73 65.2 55
77 64.8 47
46 39.7 34
55 40.5 32
75 53.0 31
69 55.5 37
74 68.9 61
72 59.6 48
48 45.6 44
58 47.6 41
53 45.1 35
58 42.5 30
65 50.1 31
76 59.1 45
79 68.5 61
73 64.3 50
51 49.2 47
51 46.9 44
53 44.4 36
63 51.9 38
70 61.3 54
70 62.2 44
67 55.1 40
54 45.4 29
63 44.1 26
73 51.9 32
74 57.5 37
Max Avg Min
38 32.9 26
44 35.0 30
63 57.4 48
64 58.0 42
41 33.0 27
29 24.6 20
37 31.2 24
58 44.3 31
69 65.6 58
69 56.6 41
45 42.7 41
47 43.4 40
43 37.1 32
38 33.3 27
52 43.5 30
61 53.4 43
67 64.6 59
69 60.6 42
47 46.1 45
45 41.7 34
36 32.7 29
46 39.2 34
62 54.2 47
63 48.5 39
44 38.8 22
28 24.2 20
27 24.2 21
37 30.3 24
53 39.9 31
Max Avg Min
92 57.5 17
89 51.9 20
93 76.3 64
93 79.5 60
89 77.4 65
82 57.0 26
76 48.6 22
86 67.1 48
93 89.2 82
100 89.7 74
93 89.8 77
97 86.4 65
97 75.0 55
89 72.3 44
96 79.5 61
97 82.7 57
100 87.8 66
94 88.1 64
93 89.6 83
93 82.8 63
79 64.3 48
86 64.0 41
84 78.0 64
93 65.1 32
89 57.7 28
82 45.3 27
81 51.4 22
79 48.4 20
82 56.0 27
Max Avg Min
12 4.9 0
18 7.1 0
20 12.7 6
24 11.5 0
22 16.5 10
16 7.4 0
17 7.0 0
15 7.6 0
18 11.5 7
21 10.4 0
18 14.4 7
15 7.2 0
20 12.3 3
13 5.6 0
16 4.2 0
12 3.8 0
17 9.7 3
22 9.4 0
20 13.1 9
26 15.7 7
17 9.9 0
14 6.8 0
21 8.1 3
13 6.3 0
22 12.5 0
25 15.2 0
10 4.4 0
10 3.6 0
24 10.1 0
Max Avg Min
29.7 29.6 29.6
29.6 29.5 29.4
29.4 29.3 29.1
29.3 29.2 29.1
29.4 29.3 29.2
29.3 29.3 29.2
29.5 29.3 29.3
29.6 29.5 29.5
29.5 29.4 29.3
29.5 29.4 29.3
29.5 29.5 29.4
29.4 29.3 29.3
29.8 29.6 29.4
29.9 29.8 29.7
29.7 29.6 29.5
29.5 29.4 29.3
29.3 29.3 29.2
29.6 29.4 29.3
29.7 29.6 29.6
30.0 29.8 29.6
30.1 30.0 29.9
29.9 29.7 29.6
29.6 29.4 29.3
29.3 29.3 29.2
29.6 29.4 29.2
29.9 29.8 29.6
29.9 29.8 29.7
29.8 29.8 29.7
29.7 29.6 29.5
Total
0.00
0.00
0.00
0.00
0.00
0.02
0.00
0.00
0.00
0.03
0.26
0.88
0.10
0.00
0.00
0.00
0.01
0.00
0.05
0.14
0.24
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
