Time Temperature (°F) Dew Point (°F) Humidity (%) Wind Speed (mph) Pressure (in) Precipitation (in)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
77 64.6 55
77 69.1 64
75 67.0 60
68 62.4 54
74 58.5 49
69 55.9 43
63 50.8 40
76 58.3 41
69 66.2 64
80 67.3 58
83 71.2 64
86 73.6 67
83 73.9 68
83 75.5 71
71 63.2 60
74 67.0 60
80 72.1 67
82 74.2 70
81 74.1 69
73 62.3 53
55 52.5 49
68 61.3 55
82 71.4 65
91 73.0 60
88 68.0 54
87 75.0 67
88 75.9 68
78 70.5 51
79 64.2 48
72 67.5 63
71 63.9 52
Max Avg Min
63 57.5 53
65 63.4 61
67 63.5 59
66 58.3 51
49 44.4 38
42 35.1 30
45 41.6 37
58 50.7 39
67 63.5 59
65 62.1 56
66 64.1 63
66 64.2 63
67 65.0 64
69 66.7 64
65 59.7 57
67 62.5 59
70 67.2 66
69 67.2 65
70 68.1 66
70 58.2 45
53 48.4 42
64 59.1 53
69 66.6 64
68 62.3 45
70 62.1 51
70 67.2 65
71 68.1 66
72 61.0 37
55 46.6 40
70 63.6 53
68 58.1 50
Max Avg Min
93 79.0 54
94 82.9 62
100 88.8 73
100 86.9 70
86 64.0 27
93 50.8 23
89 72.3 48
96 78.3 48
100 90.9 81
97 84.6 58
94 79.6 53
87 73.9 49
90 74.8 53
90 74.9 54
93 88.5 78
96 85.7 73
97 85.2 64
90 79.2 60
93 81.9 67
94 86.5 72
97 86.3 74
97 92.5 83
100 85.9 58
96 73.8 22
97 83.8 45
93 78.3 49
96 78.2 51
93 76.7 26
90 57.5 27
100 87.8 63
100 83.2 53
Max Avg Min
20 10.3 6
14 6.8 0
14 4.6 0
23 11.9 3
18 8.5 0
20 9.3 0
14 3.5 0
21 8.9 0
18 9.1 0
12 4.4 0
15 9.5 6
18 11.3 7
18 10.5 0
18 8.3 0
15 10.4 0
16 6.1 0
23 8.9 3
17 11.6 3
18 11.3 5
26 14.3 0
18 11.3 5
8 2.6 0
15 5.2 0
13 5.9 0
13 3.6 0
20 10.0 3
18 10.7 3
15 7.7 0
15 6.1 0
9 3.0 0
18 7.2 0
Max Avg Min
29.4 29.3 29.2
29.3 29.2 29.1
29.3 29.2 29.1
29.5 29.3 29.1
29.8 29.6 29.5
29.9 29.9 29.8
29.9 29.8 29.7
29.7 29.6 29.6
29.6 29.6 29.5
29.7 29.6 29.6
29.6 29.5 29.3
29.4 29.3 29.2
29.4 29.4 29.3
29.6 29.5 29.4
29.7 29.6 29.6
29.6 29.6 29.5
29.5 29.5 29.4
29.5 29.4 29.3
29.5 29.4 29.3
29.8 29.6 29.4
29.8 29.7 29.6
29.6 29.5 29.4
29.5 29.4 29.3
29.4 29.3 29.3
29.4 29.3 29.2
29.3 29.3 29.1
29.2 29.2 29.1
29.4 29.3 29.1
29.6 29.5 29.4
29.5 29.4 29.3
29.5 29.4 29.3
Total
0.00
0.00
0.00
0.02
0.83
0.00
0.00
0.00
0.00
0.21
0.00
0.00
0.00
0.00
0.00
0.05
0.00
0.38
0.03
0.42
0.32
0.99
0.02
0.00
0.00
0.00
0.00
0.00
0.10
0.00
0.32
