Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max,Avg,Min
77,62.3,46
72,66.0,60
74,65.1,48
53,48.7,46
67,59.3,51
78,68.7,59
86,74.9,68
89,78.5,72
91,74.5,67
74,67.6,64
78,69.4,56
86,75.9,58
63,54.7,45
64,54.8,45
68,54.7,41
77,61.6,44
73,64.6,56
61,58.5,55
94,68.2,59
87,68.6,52
86,73.4,64
81,74.4,68
87,72.0,59
95,76.6,51
81,68.4,55
85,68.7,48
88,73.0,54
91,80.3,74
84,72.2,58
85,68.5,52
Max,Avg,Min
55,51.6,45
67,62.1,56
71,62.9,46
50,46.3,44
61,55.1,49
69,64.1,58
73,70.3,66
76,72.9,71
75,69.3,63
64,59.8,56
72,64.3,54
72,56.7,36
46,38.9,32
44,41.1,36
46,40.8,36
57,48.7,42
68,60.7,49
59,51.8,46
71,58.1,38
69,60.5,46
68,63.1,49
76,71.2,62
70,58.0,50
64,55.4,49
53,49.1,47
56,50.3,46
68,60.1,52
73,70.5,69
73,58.3,42
55,49.3,44
Max,Avg,Min
97,71.3,43
93,87.2,80
96,92.4,87
93,91.5,89
96,86.2,75
97,85.7,66
96,86.2,63
97,83.9,59
97,84.5,59
93,77.3,57
93,84.2,71
91,60.0,18
69,55.9,46
77,61.0,48
86,61.9,39
93,66.4,42
93,87.1,76
96,78.7,69
100,78.5,15
97,77.8,43
97,73.5,35
97,89.8,76
100,68.2,28
92,53.1,28
86,53.2,32
93,57.8,28
97,67.7,41
87,73.3,48
97,67.8,23
86,55.5,26
Max,Avg,Min
15,6.6,0
15,6.8,0
21,8.7,3
16,11.1,6
12,6.1,0
10,3.3,0
15,6.4,0
9,6.9,0
15,5.3,0
15,9.6,3
16,7.1,0
17,10.8,3
24,15.7,8
18,13.7,8
13,6.8,0
18,7.3,0
15,5.4,0
16,7.2,0
18,4.5,0
12,5.9,0
17,8.0,0
14,9.5,0
16,6.0,0
22,10.2,0
21,11.1,0
13,5.0,0
23,11.9,0
25,12.8,0
36,12.5,0
9,4.1,0
Max,Avg,Min
29.5,29.4,29.3
29.4,29.3,29.2
29.5,29.3,29.3
29.5,29.4,29.4
29.5,29.5,29.4
29.4,29.4,29.4
29.4,29.4,29.3
29.4,29.3,29.2
29.4,29.3,29.2
29.5,29.4,29.4
29.4,29.2,29.1
29.3,29.0,28.9
29.6,29.5,29.4
29.6,29.6,29.5
29.7,29.6,29.5
29.6,29.5,29.4
29.6,29.4,29.4
29.5,29.4,29.3
29.3,29.2,29.1
29.4,29.3,29.2
29.4,29.3,29.3
29.3,29.2,29.0
29.3,29.2,29.1
29.3,29.2,29.1
29.6,29.5,29.3
29.7,29.6,29.5
29.6,29.5,29.4
29.4,29.3,29.2
29.5,29.4,29.2
29.6,29.5,29.4
Total
0.00
0.00
0.00
2.36
0.36
0.00
0.00
0.00
0.00
0.23
0.00
0.01
0.00
0.00
0.00
0.00
0.00
0.05
0.02
0.04
0.00
0.00
0.03
0.00
0.00
0.00
0.00
0.00
0.95
0.00
