Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max,Avg,Min
32,31.5,30
41,36.6,32
50,42.5,34
62,41.6,29
73,48.8,34
75,64.1,52
71,65.2,52
60,48.5,37
72,55.2,37
55,48.5,38
59,44.1,34
63,46.1,27
70,54.7,35
80,64.6,44
79,60.8,39
70,51.3,40
52,41.1,28
55,41.9,26
74,57.4,46
81,67.6,52
81,69.2,56
89,74.3,66
78,66.3,53
56,53.1,50
64,54.2,46
80,64.0,52
81,68.0,46
83,64.1,44
Max,Avg,Min
32,31.0,29
36,34.6,32
42,37.3,31
46,37.4,28
56,45.1,34
61,58.4,52
68,62.6,50
49,44.7,37
50,41.7,36
41,31.3,20
32,26.3,20
37,32.1,26
59,47.2,33
63,47.4,23
68,55.7,33
68,32.0,20
26,22.3,20
40,31.3,24
53,48.0,40
64,60.5,50
66,63.0,56
66,55.8,35
65,51.1,34
47,41.9,35
54,47.9,42
67,59.1,51
66,39.6,25
66,56.3,39
Max,Avg,Min
100,98.0,92
100,93.0,82
100,82.4,71
100,87.0,53
100,89.8,53
100,83.4,53
97,91.3,84
100,87.4,60
100,66.3,27
68,52.8,33
89,52.3,32
96,64.0,29
96,77.6,55
100,65.6,13
100,84.4,62
93,49.5,33
85,49.4,28
96,70.0,40
100,73.3,41
93,79.4,54
100,82.2,56
93,60.2,16
100,63.2,33
80,66.8,45
93,79.6,67
100,85.5,58
93,43.6,14
97,77.9,41
Max,Avg,Min
17,13.2,7
15,10.8,6
14,7.2,0
17,3.3,0
15,3.8,0
23,13.8,5
14,9.8,3
14,8.0,0
15,8.0,3
22,14.4,7
17,9.0,0
14,5.0,0
18,8.0,0
22,12.1,0
24,7.5,0
26,17.0,7
22,12.8,0
14,5.0,0
12,6.2,0
20,10.2,0
23,12.3,0
21,10.6,3
23,13.7,0
17,13.6,10
14,9.1,5
22,11.7,0
18,8.0,0
14,6.2,0
Max,Avg,Min
29.8,29.7,29.7
29.9,29.7,29.6
30.0,29.9,29.9
29.9,29.8,29.6
29.6,29.6,29.5
29.5,29.4,29.3
29.5,29.4,29.3
29.5,29.5,29.4
29.6,29.5,29.4
29.8,29.7,29.6
29.8,29.7,29.6
29.7,29.6,29.5
29.5,29.4,29.2
29.2,29.1,29.1
29.2,29.2,29.1
29.8,29.5,29.2
30.0,29.9,29.8
29.9,29.8,29.7
29.7,29.6,29.5
29.6,29.4,29.3
29.3,29.2,29.0
29.2,29.1,29.0
29.6,29.4,29.2
29.7,29.6,29.6
29.7,29.6,29.5
29.5,29.4,29.1
29.4,29.3,29.1
29.3,29.3,29.2
Total
0.90
0.30
0.03
0.00
0.00
0.00
0.00
0.22
0.01
0.00
0.00
0.00
0.00
0.01
0.00
0.04
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.01
0.00
0.00
