Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max,Avg,Min
83,73.7,69
80,70.3,56
72,59.2,48
78,59.2,37
78,60.9,46
80,66.5,58
79,70.8,63
79,70.7,63
83,69.4,59
73,62.2,56
87,71.0,55
69,68.5,68
67,58.1,50
66,56.1,46
74,59.0,41
81,68.5,56
57,49.2,41
53,48.6,45
58,47.0,38
56,48.4,36
69,62.0,52
77,71.8,68
80,74.3,70
86,71.2,53
79,63.6,48
79,63.4,45
77,66.5,55
68,62.8,57
72,61.6,53
76,68.9,61
86,74.3,58
Max,Avg,Min
70,68.2,66
72,66.1,46
43,35.5,21
53,46.4,37
61,55.4,46
66,62.3,56
70,67.4,63
67,64.5,58
67,60.4,54
58,55.7,52
69,63.8,55
66,66.0,66
42,39.3,38
45,39.5,36
57,49.0,41
71,64.6,50
48,32.5,26
36,31.3,28
36,31.4,23
51,39.9,32
68,61.6,52
68,67.2,65
69,67.8,66
69,61.6,43
49,39.0,31
68,56.0,44
66,54.4,46
52,41.5,35
51,44.8,36
70,64.7,51
69,65.9,50
Max,Avg,Min
96,83.6,62
100,87.7,62
83,43.5,27
100,67.9,35
100,84.8,45
100,87.5,58
100,89.8,72
100,81.8,62
84,73.9,53
100,80.0,59
100,80.9,49
93,91.5,90
63,50.6,34
83,54.9,38
100,71.6,51
100,87.8,65
82,55.5,34
65,51.8,40
93,58.6,31
100,74.6,43
100,98.5,93
100,85.8,66
93,80.7,64
100,76.7,24
92,45.4,22
97,78.4,52
100,66.1,53
63,47.0,30
67,54.3,44
100,86.8,70
96,76.8,53
Max,Avg,Min
13,6.9,0
23,12.9,0
20,9.6,0
14,6.6,0
13,6.1,0
13,5.7,0
10,6.0,0
13,6.8,3
17,8.4,5
17,9.1,0
22,10.3,0
10,9.5,9
17,13.0,8
16,8.5,0
20,9.7,0
28,13.7,0
24,18.0,10
14,7.4,0
10,4.5,0
18,9.0,0
20,10.0,0
21,13.9,8
25,15.5,10
17,7.1,0
12,5.6,0
10,3.6,0
17,10.4,5
28,17.5,3
15,8.1,0
20,11.8,0
25,12.3,0
Max,Avg,Min
29.2,29.2,29.1
29.2,29.0,28.7
29.3,29.2,29.1
29.4,29.4,29.3
29.5,29.4,29.4
29.5,29.4,29.4
29.4,29.4,29.3
29.5,29.4,29.4
29.5,29.4,29.4
29.6,29.5,29.3
29.3,29.2,29.1
29.1,29.1,29.1
29.6,29.6,29.5
29.7,29.6,29.6
29.6,29.5,29.4
29.4,29.2,29.1
29.6,29.5,29.3
29.9,29.7,29.6
30.0,29.9,29.8
29.8,29.6,29.5
29.5,29.4,29.4
29.5,29.4,29.4
29.4,29.3,29.2
29.2,29.2,29.1
29.4,29.3,29.2
29.3,29.3,29.2
29.5,29.4,29.3
29.7,29.6,29.5
29.6,29.6,29.5
29.5,29.4,29.3
29.4,29.3,29.3
Total
0.00
0.18
0.50
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.88
0.02
0.00
0.00
0.11
0.11
0.00
0.00
0.09
0.00
0.00
0.00
0.01
0.00
0.00
