Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
Max,Avg,Min
67,51.6,44
80,60.2,39
80,69.3,63
82,71.9,67
90,68.4,55
82,66.2,51
74,69.6,66
83,68.5,51
62,52.5,47
48,48.0,48
73,61.7,52
76,64.4,54
83,72.2,67
79,73.9,68
74,68.5,65
74,66.3,62
67,62.7,59
64,59.7,56
Max,Avg,Min
52,46.9,44
61,53.4,39
66,63.0,61
67,65.5,64
64,55.5,40
66,58.3,47
68,65.0,63
69,57.7,40
44,40.8,38
39,38.5,38
54,47.0,43
63,59.1,53
68,65.7,62
69,68.4,67
70,64.0,57
66,63.1,58
66,60.7,54
51,42.0,39
Max,Avg,Min
100,85.6,54
100,81.6,45
97,81.4,56
97,81.5,56
100,73.3,17
96,77.3,50
93,85.5,68
100,72.7,25
77,65.3,48
71,69.5,68
87,60.7,38
100,84.4,60
97,80.9,58
96,83.5,68
100,85.8,73
100,89.9,76
100,93.1,83
81,53.0,40
Max,Avg,Min
10,3.8,0
13,7.0,0
18,9.9,5
13,7.3,0
8,4.3,0
13,5.2,0
15,10.6,8
18,9.2,0
20,13.6,3
6,5.5,5
13,5.9,0
16,8.3,0
20,12.0,5
18,12.8,3
24,11.0,0
14,8.2,0
20,10.3,0
22,15.6,12
Max,Avg,Min
29.6,29.5,29.4
29.5,29.4,29.3
29.4,29.3,29.2
29.3,29.3,29.2
29.3,29.2,29.2
29.4,29.3,29.2
29.3,29.2,29.1
29.4,29.2,29.1
29.6,29.6,29.4
29.6,29.6,29.6
29.7,29.6,29.5
29.5,29.4,29.3
29.3,29.2,29.1
29.3,29.2,29.1
29.5,29.4,29.3
29.5,29.4,29.3
29.5,29.4,29.2
29.7,29.6,29.5
Total
0.04
0.00
0.00
0.00
0.00
0.00
0.00
0.01
0.14
0.00
0.00
0.00
0.00
0.00
0.12
0.43
0.70
0.18
