0,1,2,3,4,5,6,7,8,9,10,11,12,13
"3/5/24, 12:21 PM",,,,,,,,about:blank,,,,,
,,,"Monthly Highest Max Temperature for New York-Central Park Area, NY (ThreadEx)",,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,64,64,71,75,93,92,89,90,84,79,67,62,93
2001,54,61,57,87,92,91,94,103,86,81,75,71,103
2002,69,63,72,96,86,92,96,98,91,84,68,60,98
2003,50,50,69,88,79,93,94,91,80,77,79,58,94
2004,58,59,70,85,87,91,87,90,87,75,68,59,91
2005,66,56,63,87,79,93,97,99,92,80,72,55,99
2006,64,62,74,83,88,91,95,97,83,79,69,70,97
2007,72,49,78,86,91,91,92,92,88,87,66,61,92
2008,64,68,63,84,83,96,96,90,90,75,67,67,96
2009,47,65,70,92,86,84,86,92,84,74,69,66,92
2010,57,46,74,92,92,93,103,96,96,75,65,60,103
2011,53,67,77,83,89,95,104,94,86,84,70,62,104
2012,62,62,78,88,89,94,100,91,91,78,66,62,100
2013,61,55,59,82,90,92,98,90,96,86,70,71,98
2014,58,56,66,77,86,89,91,90,92,77,69,65,92
2015,56,43,62,80,88,90,96,95,97,78,74,72,97
2016,59,61,79,82,92,88,96,96,91,85,72,60,96
2017,66,70,70,87,92,94,94,92,91,83,74,61,94
2018,61,78,62,82,92,93,96,94,93,80,72,61,96
2019,59,65,75,80,86,91,95,90,89,93,71,58,95
2020,69,62,77,68,84,90,96,92,85,74,75,62,96
2021,51,54,82,85,89,98,92,94,85,79,69,66,98
2022,59,68,74,79,93,90,95,97,90,76,77,62,97
2023,66,70,63,91,87,91,93,88,93,83,67,62,93
2024,60,62,68,M,M,M,M,M,M,M,M,M,68
Mean,60,61,70,84,88,92,95,93,89,80,70,63,95
,72,78,82,96,93,98,104,103,97,93,79,72,104
Max,,,,,,,,,,,,,
,2007,2018,2021,2002,2022,2021,2011,2001,2015,2019,2003,2015,2011
,47,43,57,68,79,84,86,88,80,74,65,55,68
Min,,,,,,,,,,,,,
,2009,2015,2001,2020,2005,2009,2009,2023,2003,2020,2010,2005,2024
