Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max,Avg,Min
57,45.3,31
50,42.0,35
49,39.8,32
49,40.9,36
52,42.2,34
38,33.7,28
52,38.6,24
66,52.7,40
58,53.7,49
54,40.9,34
43,39.3,36
56,46.8,37
49,41.8,34
41,36.4,33
39,35.8,34
41,37.3,33
47,40.3,37
45,42.1,39
63,47.8,40
63,43.1,32
32,29.7,28
35,31.9,28
43,36.4,33
45,37.4,33
55,46.0,34
51,45.4,39
50,43.8,37
67,50.9,45
63,49.0,44
50,44.0,40
42,38.9,37
Max,Avg,Min
45,32.9,20
43,30.6,27
34,28.4,25
35,26.5,19
33,26.8,22
31,23.1,21
24,21.9,19
30,25.0,22
54,45.6,31
52,36.0,27
32,31.6,29
50,36.9,31
35,21.5,15
29,24.5,16
29,25.0,20
37,33.4,26
36,25.3,13
43,36.6,19
63,47.6,40
60,37.4,20
20,17.7,15
33,27.7,19
34,32.9,31
35,33.2,31
47,39.3,32
47,42.5,38
48,42.8,37
64,50.2,45
50,39.7,36
36,33.3,31
36,34.3,31
Max,Avg,Min
83,62.3,51
80,65.3,46
85,65.3,47
93,59.6,31
82,55.9,39
82,65.6,54
84,55.1,27
51,36.0,20
97,76.3,41
100,83.5,56
82,74.2,65
86,69.6,40
73,46.6,26
85,63.7,39
78,65.5,49
93,86.5,65
89,59.9,30
100,83.1,43
100,99.4,93
100,81.0,59
69,61.1,54
100,85.6,54
100,88.3,67
96,85.3,63
96,78.8,59
96,89.8,80
100,96.4,86
100,97.8,72
87,70.7,54
73,66.2,52
93,83.6,73
Max,Avg,Min
20,12.8,7
12,6.4,3
25,12.6,3
15,7.3,0
28,16.1,5
28,15.7,0
17,10.7,0
23,17.7,14
23,17.0,12
17,9.6,0
10,6.3,0
21,11.2,3
24,16.0,8
18,12.3,6
14,10.5,6
10,6.2,0
16,9.0,5
13,7.6,0
15,9.6,0
22,15.3,5
17,10.5,5
14,6.9,0
10,3.7,0
13,4.5,0
16,7.5,0
16,9.0,0
14,10.4,6
25,9.6,0
32,21.4,10
18,13.2,6
15,11.9,8
Max,Avg,Min
29.4,29.2,29.1
29.1,29.1,29.0
29.1,29.0,28.9
29.4,29.3,29.1
29.4,29.3,29.2
29.8,29.6,29.3
29.9,29.8,29.6
29.6,29.5,29.4
29.5,29.3,29.1
29.6,29.4,29.2
29.5,29.4,29.3
29.3,29.1,28.9
29.7,29.5,29.1
29.9,29.8,29.7
30.0,29.9,29.8
29.8,29.6,29.5
29.6,29.6,29.5
29.6,29.4,29.3
29.5,29.3,29.0
29.8,29.4,29.0
29.9,29.9,29.8
29.9,29.7,29.5
29.5,29.5,29.4
29.5,29.4,29.3
29.3,29.3,29.1
29.3,29.2,29.1
29.3,29.2,29.1
29.1,29.0,28.8
29.3,29.0,28.8
29.5,29.4,29.3
29.5,29.4,29.3
Total
0.00
0.00
0.00
0.01
0.02
0.00
0.00
0.00
0.01
0.86
0.00
0.00
0.00
0.00
0.00
0.00
0.01
0.00
0.53
0.27
0.00
0.00
0.20
0.00
0.00
0.00
0.00
0.59
0.21
0.01
0.00
