Time Temperature (°F) Dew Point (°F) Humidity (%) Wind Speed (mph) Pressure (in) Precipitation (in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max Avg Min
33 29.1 23
33 27.8 21
35 26.6 17
39 32.2 19
17 13.5 9
14 9.1 4
6 0.5 -6
15 10.8 2
18 10.1 3
17 13.5 7
24 16.8 5
20 13.8 9
14 8.4 0
5 1.3 -3
18 8.0 1
21 13.0 8
24 16.0 7
25 20.4 17
20 15.9 8
29 17.8 5
38 30.4 19
40 33.9 26
44 40.6 36
45 40.0 32
40 32.9 25
42 35.8 26
49 39.6 34
49 42.2 34
Max Avg Min
26 20.7 14
20 17.7 15
21 16.8 12
30 25.3 12
9 2.7 -1
5 0.1 -5
-9 -11.9 -15
9 3.0 -11
4 -3.8 -7
8 2.1 -6
14 6.7 -4
9 4.3 0
6 1.0 -11
-6 -10.3 -16
12 1.4 -7
8 4.7 2
9 5.5 1
16 12.3 7
10 6.5 2
14 8.5 0
33 21.4 9
31 26.0 20
31 29.5 28
33 29.4 25
24 21.7 19
30 22.3 15
38 33.2 31
47 37.9 26
Max Avg Min
79 71.2 60
78 66.2 56
81 67.5 48
89 76.2 55
71 62.4 54
77 67.3 49
65 56.3 46
80 71.0 52
77 54.9 36
74 61.0 45
78 64.7 54
77 66.5 56
77 71.7 60
69 59.1 43
81 74.6 65
80 69.7 57
84 64.1 46
88 71.1 60
80 66.8 55
92 68.2 53
89 70.4 48
85 73.3 60
76 65.0 55
75 66.2 56
81 64.6 43
76 59.6 36
96 79.1 52
97 85.1 70
Max Avg Min
17 11.8 7
14 10.0 6
9 6.0 0
30 16.7 8
26 21.0 12
17 11.3 8
14 8.4 0
12 3.0 0
12 7.4 0
15 9.8 5
16 10.7 0
14 11.1 8
16 11.4 8
18 11.9 8
18 14.2 9
16 11.4 5
10 4.5 0
8 3.7 0
15 9.8 6
9 5.6 0
18 11.9 5
21 17.1 12
14 10.5 6
20 11.7 3
14 7.1 0
16 8.2 0
10 7.6 6
21 10.6 3
Max Avg Min
29.6 29.5 29.4
29.6 29.6 29.5
29.5 29.4 29.3
29.3 28.8 28.6
29.3 29.1 28.9
29.4 29.4 29.3
29.6 29.6 29.5
29.7 29.6 29.6
29.7 29.7 29.6
29.8 29.7 29.7
29.8 29.7 29.7
29.7 29.7 29.7
29.7 29.6 29.6
29.8 29.8 29.7
29.8 29.6 29.3
29.6 29.4 29.3
29.7 29.7 29.6
29.7 29.7 29.6
29.6 29.6 29.6
29.7 29.7 29.6
29.7 29.4 29.0
29.2 29.1 28.9
29.2 29.1 28.9
29.6 29.3 29.0
29.7 29.6 29.6
29.6 29.4 29.2
29.4 29.3 29.2
29.3 29.1 29.0
Total
0.05
0.00
0.00
0.00
0.23
0.00
0.00
0.00
0.04
0.00
0.00
0.00
0.00
0.00
0.00
0.09
0.00
0.00
0.00
0.00
0.00
0.20
0.00
0.00
0.00
0.00
0.03
0.00
