Time Temperature (°F) Dew Point (°F) Humidity (%) Wind Speed (mph) Pressure (in) Precipitation (in)
Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
38 32.8 26
50 39.9 27
71 55.2 40
76 62.6 46
77 67.7 59
82 70.8 58
81 71.3 61
69 59.4 51
63 55.5 50
56 53.1 49
55 49.8 46
63 54.9 50
54 49.4 43
50 43.7 37
54 44.8 39
51 45.3 41
55 46.0 38
62 52.2 39
53 47.0 42
42 38.2 34
49 38.8 34
60 46.5 32
61 53.3 44
62 54.9 50
48 43.0 41
79 61.0 40
87 73.2 61
59 48.1 45
62 54.1 47
56 49.5 43
Max Avg Min
19 12.2 5
22 12.3 4
36 27.4 16
40 36.2 33
51 45.4 41
51 47.4 44
55 50.5 44
56 51.5 44
48 46.1 44
52 48.1 42
45 42.0 40
48 41.1 31
33 30.2 28
29 24.1 21
34 29.9 24
36 33.8 31
36 30.5 22
31 27.2 24
41 32.6 21
30 23.2 19
30 25.2 14
27 23.3 18
39 29.8 25
46 42.2 38
37 27.7 22
42 34.5 21
55 49.9 43
46 42.1 40
51 45.4 41
40 33.3 28
Max Avg Min
61 43.4 32
72 38.3 16
47 35.3 26
63 40.6 22
64 45.5 31
65 44.5 30
57 48.1 38
90 75.7 54
89 71.7 54
90 83.2 71
87 75.1 59
86 62.3 40
60 48.3 38
58 46.5 38
65 56.4 41
76 64.4 52
79 56.8 40
62 40.2 24
76 58.4 43
82 56.2 43
82 62.1 26
75 44.4 23
59 41.8 28
74 62.6 52
73 55.7 42
65 39.3 22
58 44.8 32
87 80.2 62
86 73.7 48
74 54.6 42
Max Avg Min
18 11.8 5
15 7.9 0
23 13.7 3
13 5.8 0
16 10.1 0
18 11.8 8
24 11.6 5
18 10.0 0
20 12.0 0
14 7.2 0
9 5.1 0
22 11.4 0
22 12.0 5
18 10.7 5
15 9.5 0
14 7.3 0
10 6.8 0
15 5.6 0
18 12.8 7
13 7.4 0
23 8.8 0
16 9.3 3
16 10.3 6
20 6.6 0
16 12.0 7
31 15.3 8
25 15.6 5
14 9.2 5
21 8.2 0
26 11.3 3
Max Avg Min
29.9 29.8 29.7
29.9 29.8 29.6
29.6 29.5 29.4
29.5 29.4 29.3
29.3 29.3 29.2
29.3 29.2 29.2
29.2 29.1 29.0
29.0 28.9 28.9
29.1 29.0 28.9
29.1 28.8 28.7
28.9 28.7 28.6
29.3 29.1 28.9
29.4 29.4 29.3
29.5 29.4 29.4
29.4 29.4 29.3
29.4 29.3 29.3
29.3 29.3 29.3
29.3 29.2 29.2
29.3 29.2 29.1
29.4 29.4 29.3
29.4 29.4 29.4
29.5 29.4 29.3
29.4 29.4 29.3
29.3 29.2 29.1
29.5 29.4 29.3
29.4 29.2 29.0
29.1 29.1 29.0
29.3 29.2 29.1
29.3 29.2 29.1
29.6 29.5 29.3
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.02
0.31
0.00
0.20
0.02
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.09
0.03
0.00
0.00
0.00
0.02
0.00
0.00
0.03
0.65
0.03
