Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max,Avg,Min
47,39.1,33
33,24.2,20
27,24.8,20
25,19.6,12
19,14.0,6
33,27.0,19
31,23.8,18
40,30.0,19
41,37.6,34
36,31.5,28
44,37.3,31
29,19.8,15
19,16.1,14
27,21.5,16
46,33.1,23
54,49.8,43
39,26.5,18
32,22.4,9
25,17.4,12
49,37.7,20
54,43.9,34
54,38.1,26
25,22.6,18
29,27.5,24
31,27.0,20
33,25.7,16
45,36.0,29
55,42.5,30
Max,Avg,Min
38,30.0,22
29,18.3,9
18,14.6,9
15,10.0,4
6,2.9,-1
25,16.6,6
26,14.8,10
29,19.2,10
30,28.6,27
28,22.1,18
35,30.1,21
19,5.4,0
7,2.2,-1
16,8.2,-1
29,18.5,10
48,40.6,30
35,20.2,8
23,10.1,2
8,2.2,-4
33,24.0,9
48,36.0,29
51,34.3,17
16,11.1,6
23,19.9,15
23,18.5,13
22,15.0,9
22,19.8,18
31,26.6,21
Max,Avg,Min
89,70.8,55
88,78.3,62
72,65.4,59
78,66.9,46
73,61.7,50
75,64.9,57
82,69.0,53
71,64.4,56
76,70.3,60
76,68.5,59
86,75.8,60
67,54.1,42
70,54.6,43
66,56.7,47
71,55.7,43
93,71.7,52
86,77.4,65
73,60.0,45
62,51.8,44
73,58.5,46
86,74.3,61
93,86.2,69
71,61.6,46
85,73.3,61
85,71.3,51
77,64.6,51
69,53.4,35
75,55.2,34
Max,Avg,Min
17,10.7,6
22,15.4,10
24,17.4,9
16,10.7,3
18,11.4,0
16,12.3,8
16,10.7,5
14,10.6,5
20,13.4,8
17,13.3,8
24,17.1,13
20,12.0,5
13,8.6,3
10,7.3,5
17,11.3,3
26,15.7,0
23,18.8,13
26,17.1,5
29,14.3,6
29,16.8,6
12,5.9,0
22,10.8,0
18,12.6,6
20,11.9,5
13,7.5,0
16,11.1,5
16,9.0,0
24,10.2,0
Max,Avg,Min
29.4,29.3,29.2
29.7,29.6,29.4
29.8,29.7,29.7
29.7,29.6,29.6
29.8,29.7,29.5
29.5,29.5,29.4
29.5,29.5,29.4
29.4,29.3,29.1
29.1,29.1,29.0
29.3,29.2,29.0
29.3,29.0,28.8
29.7,29.6,29.4
29.6,29.6,29.6
29.7,29.6,29.6
29.8,29.6,29.3
29.3,29.2,29.1
29.4,29.3,29.2
29.6,29.4,29.2
29.8,29.6,29.3
29.5,29.3,29.2
29.3,29.2,29.1
29.5,29.2,29.0
29.8,29.8,29.6
29.8,29.6,29.4
29.8,29.7,29.4
29.8,29.8,29.6
29.6,29.5,29.5
29.5,29.4,29.3
Total
0.00
0.17
0.07
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.14
0.00
0.00
0.00
0.00
0.00
1.27
0.01
0.00
0.00
0.00
0.29
0.76
0.00
0.06
0.00
0.00
0.00
