Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max,Avg,Min
45,37.1,34
45,39.2,35
48,41.7,34
55,47.6,43
55,45.9,39
59,52.8,46
45,43.5,42
42,38.9,36
49,38.9,34
64,52.2,36
63,57.5,49
72,61.6,44
71,64.1,45
54,45.8,37
55,47.5,43
50,41.4,35
42,39.3,34
42,38.4,35
50,42.5,38
55,49.2,43
70,58.0,52
60,52.8,50
85,72.6,58
75,69.6,60
59,51.3,43
53,44.0,40
43,39.5,36
52,47.7,40
69,59.0,51
72,62.9,54
Max,Avg,Min
31,25.8,22
37,31.2,27
38,34.4,30
43,38.7,36
49,38.7,35
51,42.5,33
38,33.2,29
36,33.8,32
30,28.0,25
37,30.8,27
45,36.0,32
61,44.9,28
63,57.3,38
33,24.6,17
37,24.0,16
28,23.9,21
31,25.4,23
34,31.0,26
31,28.6,25
49,36.6,29
52,46.3,40
48,43.6,34
59,54.0,50
63,56.4,40
39,33.4,27
29,27.1,23
30,25.5,22
39,34.8,31
44,36.4,31
61,51.3,38
Max,Avg,Min
82,65.0,43
86,74.0,55
89,76.0,63
86,71.3,63
93,76.5,61
86,69.5,46
85,67.5,55
89,82.2,76
82,66.6,41
73,46.8,30
59,45.1,34
78,57.3,23
87,78.9,68
76,47.1,25
68,40.9,28
65,50.6,36
73,58.1,49
92,75.8,58
73,59.1,38
89,62.4,52
93,68.7,35
86,71.7,48
78,54.5,32
81,63.5,46
54,50.5,45
63,52.4,33
70,57.8,50
73,61.4,50
56,43.5,33
84,66.3,53
Max,Avg,Min
16,10.2,3
15,9.2,3
12,5.4,0
18,11.2,5
15,8.2,0
23,15.8,8
22,16.4,8
13,7.5,0
15,9.3,0
24,11.8,0
15,9.1,0
23,13.0,0
30,16.6,6
37,19.9,6
22,13.0,7
20,10.7,5
16,9.3,0
23,10.2,0
17,11.4,7
20,13.9,9
21,13.5,0
24,12.1,0
29,16.5,8
24,17.8,9
23,14.5,5
18,12.2,3
18,10.8,5
15,11.0,6
21,13.4,6
25,15.6,6
Max,Avg,Min
29.5,29.3,29.1
29.4,29.3,29.2
29.4,29.4,29.3
29.3,29.2,29.1
29.2,29.1,28.9
28.9,28.9,28.8
28.9,28.9,28.9
29.1,29.0,28.9
29.3,29.2,29.1
29.3,29.2,28.9
29.3,29.1,28.9
29.3,29.2,28.9
29.0,28.9,28.8
29.3,29.2,29.1
29.3,29.3,29.2
29.6,29.4,29.4
29.7,29.6,29.5
29.5,29.4,29.4
29.5,29.5,29.4
29.6,29.4,29.2
29.7,29.4,29.2
29.7,29.6,29.4
29.4,29.2,29.1
29.3,29.2,29.1
29.5,29.4,29.3
29.6,29.6,29.5
29.7,29.6,29.6
29.6,29.5,29.5
29.5,29.4,29.3
29.3,29.1,28.9
Total
0.02
0.00
0.22
0.18
0.00
0.50
0.04
0.04
0.00
0.00
0.00
0.00
0.00
0.72
0.00
0.04
0.00
0.12
0.00
0.00
0.25
0.00
0.57
0.00
0.10
0.00
0.00
0.00
0.01
0.03
