Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max,Avg,Min
56,41.7,36
42,38.2,34
40,34.9,31
46,37.8,33
42,37.0,33
42,36.7,33
47,40.6,30
58,54.0,47
57,49.2,38
43,37.1,33
43,34.2,29
46,36.2,27
41,35.3,30
47,38.1,27
45,40.9,32
33,29.8,23
30,21.5,14
46,34.5,24
51,39.0,27
58,45.5,32
67,55.0,46
60,51.9,47
52,37.4,28
35,30.0,25
61,46.7,33
72,57.5,43
72,62.3,54
53,32.5,24
45,33.4,20
Max,Avg,Min
40,35.0,32
34,31.5,30
32,28.9,27
33,30.3,28
32,30.8,30
34,31.9,29
35,31.6,28
49,42.0,31
48,36.1,29
28,25.7,24
26,23.8,21
28,24.7,22
26,20.8,17
25,22.1,20
40,24.0,8
18,13.4,9
13,6.2,-1
19,16.6,13
28,22.0,18
33,28.2,25
41,35.7,31
36,32.7,28
33,28.1,21
20,16.6,13
37,28.3,19
52,36.0,29
58,54.2,46
43,17.3,1
18,9.5,2
Max,Avg,Min
86,78.1,55
86,77.0,65
86,79.1,68
86,75.3,50
89,78.8,62
93,83.2,67
92,71.5,56
80,64.7,47
80,61.4,49
79,64.3,51
85,66.6,47
85,65.2,42
75,56.9,40
75,54.2,37
82,53.7,27
64,50.6,43
63,52.1,40
66,49.8,31
75,53.4,29
75,53.8,30
56,49.0,34
61,48.8,30
88,70.7,40
69,58.0,46
68,50.2,34
70,47.2,24
90,75.7,57
76,55.6,33
52,37.7,26
Max,Avg,Min
16,10.3,6
16,10.0,0
12,7.0,5
15,9.3,6
12,9.3,6
8,5.3,0
12,6.4,0
30,18.4,9
23,12.6,3
14,8.7,3
12,5.8,0
9,4.3,0
10,7.4,0
10,5.6,0
22,14.4,8
22,10.4,3
25,16.9,8
20,11.8,0
9,4.7,0
16,8.7,3
20,10.3,0
13,6.2,0
26,15.5,6
22,11.3,0
20,10.2,0
17,10.3,0
25,13.7,0
29,18.8,12
17,10.3,0
Max,Avg,Min
29.4,29.3,29.2
29.5,29.4,29.4
29.5,29.4,29.4
29.4,29.4,29.4
29.5,29.4,29.4
29.6,29.5,29.5
29.6,29.5,29.3
29.3,29.1,29.0
29.2,29.1,29.0
29.4,29.3,29.2
29.4,29.4,29.3
29.3,29.2,29.1
29.5,29.3,29.2
29.6,29.5,29.3
29.5,29.3,29.1
29.5,29.4,29.4
29.5,29.4,29.2
29.4,29.2,29.1
29.5,29.4,29.4
29.5,29.5,29.4
29.4,29.2,29.1
29.1,29.0,29.0
29.2,29.1,29.0
29.4,29.3,29.3
29.3,29.1,29.1
29.2,29.0,28.8
28.8,28.7,28.6
29.7,29.2,28.7
29.8,29.7,29.6
Total
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.14
0.00
0.00
0.00
0.00
0.00
0.05
0.01
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.01
0.00
0.00
0.00
0.34
0.00
