Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
Max,Avg,Min
47,40.9,32
60,48.4,37
73,59.0,45
72,62.7,45
44,42.3,40
50,43.1,39
49,44.2,39
47,45.0,42
46,41.0,35
34,34.0,34
68,51.3,33
72,60.4,49
68,56.6,50
66,50.2,43
51,42.9,39
59,48.3,40
43,36.8,32
37,31.1,26
Max,Avg,Min
29,21.4,16
39,35.4,30
48,42.2,37
59,53.6,42
41,37.5,34
39,34.6,20
39,35.5,30
44,41.1,37
36,28.5,18
18,18.0,18
35,27.9,20
42,36.8,33
43,40.4,35
56,44.0,37
36,34.7,33
38,32.2,26
24,17.5,14
18,14.5,10
Max,Avg,Min
58,46.5,34
86,62.5,44
83,57.7,28
90,72.6,59
93,83.1,73
93,74.1,38
76,71.5,65
93,86.3,77
83,62.6,43
52,52.0,52
64,42.5,28
56,42.5,27
71,55.4,39
96,79.9,57
83,73.5,56
79,55.8,33
54,46.1,35
59,50.4,41
Max,Avg,Min
13,8.9,6
13,8.7,5
25,17.0,10
22,10.9,5
23,14.7,8
18,12.6,8
12,7.8,3
16,10.1,5
22,13.2,8
14,13.5,13
25,13.4,5
23,13.2,8
13,6.4,0
22,12.3,0
20,10.6,3
29,17.3,7
18,14.3,10
16,13.2,9
Max,Avg,Min
29.6,29.5,29.4
29.4,29.4,29.3
29.3,29.2,29.1
29.3,29.2,29.1
29.4,29.3,29.2
29.4,29.4,29.4
29.4,29.4,29.3
29.3,29.2,29.1
29.3,29.2,29.1
29.3,29.3,29.3
29.5,29.4,29.2
29.3,29.2,29.1
29.2,29.2,29.1
29.3,29.2,29.1
29.5,29.4,29.3
29.3,29.1,29.0
29.3,29.2,29.1
29.5,29.4,29.3
Total
0.00
0.00
0.00
0.00
1.10
0.03
0.00
0.00
0.75
0.00
0.00
0.00
0.00
0.33
0.35
0.00
0.00
0.00
