0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"3/5/24, 12:19 PM",,,,,,,,,,,,,,about:blank,,,,,,,,,,
,,,,,,,"Highest Max Temperature by Day for CHICAGO MIDWAY AP 3SW, IL",,,,,,,,,,,,,,,,,
Day,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
1,52,2000,56,2024,73,1992,82,2010,89,1992,93,2002,97,1991,100,1988,96,1984,88,2019,77,2016,61,1982
2,61,2004,54,2020,69,1983,81,2010,88,2018,94,2020,97,2012,102,1991,95,2008,86,1983,76,1990,69,1982
3,57,1998,60,1992,74,2024,77,2011,87,2001,89,2023,97,2012,95,2022,93,2023,88,2018,76,1987,72,2012
4,64,1997,54,1993,74,1983,76,2021,84,1982,91,2021,102,2012,97,1988,93,2023,89,2005,76,2022,68,1998
5,56,1998,55,2005,76,1983,85,1988,87,1982,92,2021,103,2012,95,2018,94,1999,89,1997,71,2022,68,2001
6,60,2008,55,2017,71,1983,84,1991,87,2000,94,2011,105,2012,95,2022,98,1990,89,1982,74,2020,63,1998
7,65,2008,59,2009,79,2000,83,2001,87,2015,97,2011,98,2012,96,1984,95,1985,88,2007,72,2020,57,1980
8,56,2008,61,1990,79,2000,78,2001,93,2014,97,1985,98,1990,99,1988,94,2002,88,2007,77,2020,63,1991
9,56,2002,58,2024,69,2021,77,2017,88,2004,92,1999,98,1988,96,1984,95,1983,87,2010,76,2020,59,1990
10,56,2018,62,2009,69,2021,84,2011,92,2022,94,2016,101,1989,94,2021,96,2013,85,2010,76,2022,61,2021
11,60,2018,71,1999,76,1990,83,1996,91,2022,94,2017,93,1987,95,1995,93,2013,82,1995,70,2012,59,2021
12,62,2005,61,1984,81,1990,83,2023,95,2022,95,2017,98,1995,100,1995,91,2005,86,2008,66,2007,62,1991
13,52,2005,55,1990,74,2007,84,2023,93,2022,95,1990,106,1995,99,1995,95,2005,86,1995,74,1989,64,2015
14,49,1996,59,1984,81,2012,85,2003,92,1982,100,2022,102,1995,98,1995,91,1991,86,1989,67,1990,62,2015
15,54,1990,62,1984,82,2012,89,2002,91,2001,100,2022,103,1988,94,1988,91,1994,83,1989,72,1990,66,2021
16,56,1990,54,2022,82,2012,88,2002,91,2001,97,2022,99,1988,101,1988,89,2018,80,1998,67,2023,67,2021
17,57,1996,67,2017,81,2012,85,2002,90,1987,96,1987,100,2012,99,1988,92,2018,85,2016,74,2016,57,2006
18,61,1996,70,2017,81,2012,89,2002,93,1996,95,2018,97,1991,94,1990,90,2007,79,2007,72,1999,55,2002
19,55,2006,67,2017,79,2012,86,1985,94,1996,94,2012,99,1991,99,1983,91,2000,81,1995,70,1991,56,1988
20,49,2006,70,2017,85,2012,87,1987,93,2012,103,1988,100,2011,93,2010,95,2018,85,2003,65,2003,59,1988
21,60,2017,68,2024,86,2012,86,1985,91,1987,101,2022,101,2011,97,2003,95,2017,80,2007,66,1990,54,2015
22,56,2002,67,2017,84,2012,83,2007,89,1994,98,1988,102,1991,91,2007,95,2017,82,2022,67,2010,56,2006
23,52,1989,66,2000,77,1994,86,2022,89,2010,94,1997,98,2012,98,2023,95,2017,81,2022,66,2003,61,2015
24,53,1981,61,2002,82,2017,89,1990,91,2010,98,2005,104,2005,100,2023,92,2017,82,2023,65,2001,59,1982
25,51,2002,73,2000,78,2007,89,1990,90,2018,104,1988,101,2012,95,1991,92,2017,79,1989,61,2006,64,1982
26,55,2002,72,2024,79,2007,91,1986,92,1985,96,1983,99,1997,95,2018,93,2017,77,2000,68,1990,62,2019
27,61,2002,74,2024,77,1998,89,1986,97,2012,96,2005,94,1997,96,2018,88,2021,79,2014,70,1990,62,2008
28,53,2002,64,2016,76,1986,79,2004,96,2018,101,2012,100,1983,96,1991,85,2013,81,1999,69,1998,67,1984
29,61,2013,65,2000,86,1986,83,1987,92,2006,95,2018,99,1999,96,1984,86,2002,79,1999,69,1998,64,1984
30,55,1988,-,-,83,1986,87,2001,92,2022,95,2018,104,1999,96,2013,87,2019,77,1999,65,1998,60,2002
31,67,1989,-,-,85,1986,-,-,92,1988,-,-,99,2006,94,2000,-,-,76,1990,-,-,59,2006
,,,,,,,,,,Period of record: 1980-09-01 to 2024-03-04,,,,,,,,,,,,,,
