Max_Temp,Avg_Temp,Min_Temp,Max_Dew,Avg_Dew,Min_Dew,Max_Humidity,Avg_Humidity,Min_Humidity,Max_Wind,Avg_Wind,Min_Wind,Max_Pressure,Avg_Pressure,Min_Pressure,Date,Chicago,Miami,New York,Austin
57,45.7,32,38,33.1,29,100,66.2,38,13,4.8,0,29.6,29.5,29.4,2020-04-01,1.0,0.0,0.0,0.0
69,56.8,46,49,39.5,31,77,54.4,36,14,7.2,0,29.4,29.4,29.3,2020-04-02,1.0,0.0,0.0,0.0
56,43.1,38,50,39.0,34,97,86.0,68,15,9.2,0,29.5,29.4,29.3,2020-04-03,1.0,0.0,0.0,0.0
49,42.2,37,35,28.4,16,93,63.3,27,17,9.1,0,29.6,29.5,29.5,2020-04-04,1.0,0.0,0.0,0.0
65,52.0,37,57,42.1,33,97,71.6,41,14,6.6,0,29.5,29.4,29.2,2020-04-05,1.0,0.0,0.0,0.0
80,67.0,57,64,58.3,51,100,76.3,47,20,9.9,0,29.2,29.0,28.9,2020-04-06,1.0,0.0,0.0,0.0
69,54.8,50,53,50.1,44,100,85.5,53,23,8.1,0,29.1,29.1,29.0,2020-04-07,1.0,0.0,0.0,0.0
49,43.3,37,40,24.9,17,71,49.8,29,28,18.4,10,29.3,29.1,29.0,2020-04-08,1.0,0.0,0.0,0.0
50,41.2,34,29,23.9,21,67,51.4,37,17,10.2,0,29.4,29.3,29.3,2020-04-09,1.0,0.0,0.0,0.0
64,53.0,42,47,32.0,24,93,48.5,27,15,9.4,0,29.3,29.2,29.1,2020-04-10,1.0,0.0,0.0,0.0
66,56.7,49,56,49.2,42,97,77.3,52,16,10.5,0,29.1,28.9,28.7,2020-04-11,1.0,0.0,0.0,0.0
55,40.7,36,55,27.0,11,100,62.1,31,29,18.3,8,29.5,29.1,28.7,2020-04-12,1.0,0.0,0.0,0.0
41,35.5,30,23,17.7,12,69,50.0,33,25,13.9,3,29.5,29.5,29.4,2020-04-13,1.0,0.0,0.0,0.0
39,32.2,28,26,20.9,14,92,66.6,38,14,8.4,3,29.5,29.4,29.4,2020-04-14,1.0,0.0,0.0,0.0
46,38.3,29,18,14.9,12,52,39.3,30,15,9.0,3,29.7,29.6,29.5,2020-04-15,1.0,0.0,0.0,0.0
42,35.7,33,34,31.7,18,100,86.8,38,14,8.0,0,29.6,29.4,29.3,2020-04-16,1.0,0.0,0.0,0.0
58,46.5,33,33,31.4,29,92,59.6,35,24,15.2,8,29.4,29.3,29.1,2020-04-17,1.0,0.0,0.0,0.0
62,49.8,43,36,32.5,27,63,52.8,26,20,10.8,3,29.2,29.1,29.1,2020-04-18,1.0,0.0,0.0,0.0
64,51.3,37,44,33.2,24,82,53.8,27,24,11.7,0,29.2,29.0,28.9,2020-04-19,1.0,0.0,0.0,0.0
52,43.7,37,38,18.5,11,63,38.4,21,22,14.7,5,29.4,29.2,29.0,2020-04-20,1.0,0.0,0.0,0.0
61,48.8,40,48,31.0,15,83,52.1,35,12,7.2,0,29.4,29.2,29.1,2020-04-21,1.0,0.0,0.0,0.0
58,50.6,44,50,43.5,40,93,77.3,62,13,6.7,0,29.1,29.1,29.0,2020-04-22,1.0,0.0,0.0,0.0
49,44.3,42,42,40.1,37,100,85.6,74,13,9.1,6,29.3,29.2,29.1,2020-04-23,1.0,0.0,0.0,0.0
47,44.4,42,44,40.7,36,97,87.3,76,22,12.1,5,29.3,29.3,29.3,2020-04-24,1.0,0.0,0.0,0.0
