0,1,2,3,4,5,6,7,8,9
,,"Climatological Data for Austin-Bergstrom Airport Area, TX (ThreadEx) - April 2023",,,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2023-04-01,81,44,62.5,-2.4,2,0,0.00,0.0,0
2023-04-02,84,54,69.0,3.8,0,4,0.00,0.0,0
2023-04-03,90,69,79.5,14.1,0,15,0.00,0.0,0
2023-04-04,86,72,79.0,13.4,0,14,0.00,0.0,0
2023-04-05,75,54,64.5,-1.3,0,0,0.04,0.0,0
2023-04-06,57,47,52.0,-14.0,13,0,1.88,0.0,0
2023-04-07,54,49,51.5,-14.8,13,0,0.57,0.0,0
2023-04-08,62,51,56.5,-10.0,8,0,T,0.0,0
2023-04-09,72,48,60.0,-6.7,5,0,0.00,0.0,0
2023-04-10,71,50,60.5,-6.4,4,0,0.00,0.0,0
2023-04-11,74,46,60.0,-7.1,5,0,0.00,0.0,0
2023-04-12,77,45,61.0,-6.3,4,0,0.00,0.0,0
2023-04-13,78,48,63.0,-4.5,2,0,0.00,0.0,0
2023-04-14,79,53,66.0,-1.7,0,1,T,0.0,0
2023-04-15,91,60,75.5,7.6,0,11,0.06,0.0,0
2023-04-16,73,50,61.5,-6.7,3,0,0.00,0.0,0
2023-04-17,77,44,60.5,-7.9,4,0,0.00,0.0,0
2023-04-18,79,61,70.0,1.4,0,5,T,0.0,0
2023-04-19,80,69,74.5,5.7,0,10,0.00,0.0,0
2023-04-20,87,65,76.0,7.0,0,11,0.92,0.0,0
2023-04-21,78,55,66.5,-2.7,0,2,0.02,0.0,0
2023-04-22,78,49,63.5,-6.0,1,0,0.00,0.0,0
2023-04-23,66,51,58.5,-11.2,6,0,0.02,0.0,0
2023-04-24,69,53,61.0,-8.9,4,0,T,0.0,0
2023-04-25,75,59,67.0,-3.2,0,2,0.27,0.0,0
2023-04-26,84,62,73.0,2.6,0,8,0.69,0.0,0
2023-04-27,80,56,68.0,-2.7,0,3,0.14,0.0,0
2023-04-28,83,54,68.5,-2.4,0,4,0.45,0.0,0
2023-04-29,75,49,62.0,-9.2,3,0,0.00,0.0,0
2023-04-30,86,48,67.0,-4.4,0,2,0.00,0.0,0
Sum,2301,1615,-,-,77,92,5.06,0.0,-
Average,76.7,53.8,65.3,-2.8,-,-,-,-,0.0
Normal,80.1,56.1,68.1,-,52,145,2.39,0.0,-
Average,76.7,53.8,65.3,,,,,,
Normal,80.1,56.1,68.1,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : unknown,,,,,,,
,,Snow Depth : unknown,,,,,,,
