0,1,2,3,4,5,6,7,8,9
,,"Climatological Data for New York-Central Park Area, NY (ThreadEx) - March 2023",,,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2023-03-01,44,33,38.5,-0.3,26,0,0.00,0.0,1
2023-03-02,54,39,46.5,7.5,18,0,T,0.0,0
2023-03-03,47,37,42.0,2.8,23,0,0.15,0.0,0
2023-03-04,45,38,41.5,2.0,23,0,0.99,0.0,0
2023-03-05,53,38,45.5,5.8,19,0,0.00,0.0,0
2023-03-06,52,40,46.0,6.0,19,0,0.00,0.0,0
2023-03-07,47,33,40.0,-0.2,25,0,0.06,0.1,T
2023-03-08,48,31,39.5,-1.0,25,0,0.00,0.0,0
2023-03-09,51,33,42.0,1.3,23,0,0.00,0.0,0
2023-03-10,46,35,40.5,-0.5,24,0,0.36,0.0,0
2023-03-11,45,35,40.0,-1.2,25,0,0.40,T,0
2023-03-12,48,34,41.0,-0.5,24,0,0.00,0.0,0
2023-03-13,45,38,41.5,-0.3,23,0,0.67,0.0,0
2023-03-14,38,33,35.5,-6.6,29,0,0.13,T,0
2023-03-15,45,34,39.5,-2.8,25,0,0.00,0.0,0
2023-03-16,59,34,46.5,3.9,18,0,0.00,0.0,0
2023-03-17,60,47,53.5,10.6,11,0,T,0.0,0
2023-03-18,56,40,48.0,4.8,17,0,0.02,0.0,0
2023-03-19,40,29,34.5,-9.0,30,0,0.00,0.0,0
2023-03-20,51,31,41.0,-2.9,24,0,0.00,0.0,0
2023-03-21,63,40,51.5,7.3,13,0,0.00,0.0,0
2023-03-22,62,48,55.0,10.5,10,0,0.00,0.0,0
2023-03-23,60,48,54.0,9.2,11,0,0.09,0.0,0
2023-03-24,55,44,49.5,4.3,15,0,0.00,0.0,0
2023-03-25,47,42,44.5,-1.0,20,0,0.15,0.0,0
2023-03-26,63,44,53.5,7.6,11,0,0.00,0.0,0
2023-03-27,62,43,52.5,6.3,12,0,0.29,0.0,0
2023-03-28,52,42,47.0,0.4,18,0,T,0.0,0
2023-03-29,55,39,47.0,0.1,18,0,T,0.0,0
2023-03-30,46,31,38.5,-8.8,26,0,0.01,0.0,0
2023-03-31,57,38,47.5,-0.2,17,0,0.00,0.0,0
Sum,1596,1171,-,-,622,0,3.32,0.1,-
Average,51.5,37.8,44.6,1.8,-,-,-,-,0.0
Normal,49.9,35.8,42.8,-,688,1,4.29,5.0,-
Average,51.5,37.8,44.6,,,,,,
Normal,49.9,35.8,42.8,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : unknown,,,,,,,
,,Snow Depth : midnight,,,,,,,
