0,1,2,3,4,5,6,7,8,9
,,,"Climatological Data for CHICAGO MIDWAY AP 3SW, IL - April 2023",,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2023-04-01,50,35,42.5,-2.9,22,0,0.09,T,0
2023-04-02,56,32,44.0,-1.8,21,0,0.00,0.0,0
2023-04-03,61,45,53.0,6.8,12,0,0.04,0.0,0
2023-04-04,72,45,58.5,12.0,6,0,0.39,0.0,0
2023-04-05,73,39,56.0,9.1,9,0,0.17,0.0,0
2023-04-06,54,33,43.5,-3.7,21,0,0.00,0.0,0
2023-04-07,49,38,43.5,-4.1,21,0,0.00,0.0,0
2023-04-08,64,38,51.0,3.0,14,0,0.00,0.0,0
2023-04-09,68,44,56.0,7.7,9,0,0.00,0.0,0
2023-04-10,71,48,59.5,10.8,5,0,0.00,0.0,0
2023-04-11,80,52,66.0,16.9,0,1,0.00,0.0,0
2023-04-12,83,59,71.0,21.5,0,6,0.00,0.0,0
2023-04-13,84,56,70.0,20.1,0,5,0.00,0.0,0
2023-04-14,84,56,70.0,19.8,0,5,0.00,0.0,0
2023-04-15,83,64,73.5,22.9,0,9,0.10,0.0,0
2023-04-16,64,35,49.5,-1.5,15,0,0.11,T,0
2023-04-17,40,32,36.0,-15.4,29,0,0.02,T,0
2023-04-18,59,33,46.0,-5.8,19,0,0.00,0.0,0
2023-04-19,72,44,58.0,5.8,7,0,0.15,0.0,0
2023-04-20,81,49,65.0,12.4,0,0,0.21,0.0,0
2023-04-21,63,45,54.0,1.1,11,0,T,0.0,0
2023-04-22,47,38,42.5,-10.8,22,0,0.02,T,0
2023-04-23,42,36,39.0,-14.7,26,0,0.00,0.0,0
2023-04-24,54,35,44.5,-9.6,20,0,T,0.0,0
2023-04-25,48,34,41.0,-13.5,24,0,0.14,0.0,0
2023-04-26,50,34,42.0,-12.9,23,0,0.00,0.0,0
2023-04-27,67,38,52.5,-2.7,12,0,0.00,0.0,0
2023-04-28,61,47,54.0,-1.6,11,0,0.00,0.0,0
2023-04-29,59,42,50.5,-5.5,14,0,0.10,0.0,0
2023-04-30,50,40,45.0,-11.4,20,0,0.10,T,0
Sum,1889,1266,-,-,393,26,1.64,T,-
Average,63.0,42.2,52.6,1.7,-,-,-,-,0.0
Normal,60.0,41.7,50.9,-,435,10,4.15,1.0,-
Average,63.0,42.2,52.6,,,,,,
Normal,60.0,41.7,50.9,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : unknown,,,,,,,
,,Snow Depth : unknown,,,,,,,
