0,1,2,3,4,5,6,7,8,9
,,,"Climatological Data for CHICAGO MIDWAY AP 3SW, IL - February 2024",,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2024-02-01,56,36,46.0,19.7,19,0,0.00,0.0,0
2024-02-02,43,33,38.0,11.5,27,0,0.00,0.0,0
2024-02-03,40,31,35.5,8.8,29,0,0.00,0.0,0
2024-02-04,47,32,39.5,12.6,25,0,0.00,0.0,0
2024-02-05,44,33,38.5,11.4,26,0,0.00,0.0,0
2024-02-06,43,33,38.0,10.7,27,0,0.00,0.0,0
2024-02-07,48,30,39.0,11.5,26,0,0.00,0.0,0
2024-02-08,60,47,53.5,25.8,11,0,0.17,0.0,0
2024-02-09,58,38,48.0,20.0,17,0,0.00,0.0,0
2024-02-10,43,33,38.0,9.7,27,0,0.00,0.0,0
2024-02-11,43,29,36.0,7.5,29,0,0.00,0.0,0
2024-02-12,46,25,35.5,6.7,29,0,0.00,0.0,0
2024-02-13,42,30,36.0,6.9,29,0,0.00,0.0,0
2024-02-14,48,27,37.5,8.1,27,0,0.00,0.0,0
2024-02-15,46,32,39.0,9.3,26,0,0.06,0.0,0
2024-02-16,33,22,27.5,-2.6,37,0,T,T,0
2024-02-17,30,14,22.0,-8.4,43,0,0.00,0.0,0
2024-02-18,47,24,35.5,4.8,29,0,0.00,0.0,0
2024-02-19,52,26,39.0,7.9,26,0,0.00,0.0,0
2024-02-20,58,32,45.0,13.6,20,0,0.00,0.0,0
2024-02-21,68,46,57.0,25.2,8,0,0.00,0.0,0
2024-02-22,61,46,53.5,21.4,11,0,T,0.0,7
2024-02-23,52,29,40.5,8.0,24,0,0.15,2.2,2
2024-02-24,36,24,30.0,-2.8,35,0,T,T,T
2024-02-25,62,32,47.0,13.8,18,0,0.00,0.0,0
2024-02-26,72,42,57.0,23.4,8,0,0.00,0.0,0
2024-02-27,74,53,63.5,29.6,1,0,0.51,0.0,0
2024-02-28,53,23,38.0,3.7,27,0,0.03,T,0
2024-02-29,46,20,33.0,-1.5,32,0,0.00,0.0,0
Sum,1451,922,-,-,693,0,0.92,2.2,-
Average,50.0,31.8,40.9,11.0,-,-,-,-,0.3
Normal,36.8,22.9,29.9,-,984,0,2.12,10.1,-
Average,50.0,31.8,40.9,,,,,,
Normal,36.8,22.9,29.9,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : 11pm,,,,,,,
,,Min Temperature : 11pm,,,,,,,
,,Precipitation : 11pm,,,,,,,
,,Snowfall : 11pm,,,,,,,
,,Snow Depth : 11pm,,,,,,,
