0,1,2,3,4,5,6,7,8,9
,,,"Climatological Data for Miami Area, FL (ThreadEx) - February 2024",,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2024-02-01,74,56,65.0,-4.3,0,0,0.00,0.0,0
2024-02-02,77,61,69.0,-0.4,0,4,0.00,0.0,0
2024-02-03,78,57,67.5,-2.0,0,3,0.00,0.0,0
2024-02-04,75,62,68.5,-1.1,0,4,0.73,0.0,0
2024-02-05,68,60,64.0,-5.7,1,0,0.13,0.0,0
2024-02-06,71,57,64.0,-5.8,1,0,0.00,0.0,0
2024-02-07,77,56,66.5,-3.4,0,2,0.00,0.0,0
2024-02-08,77,59,68.0,-2.1,0,3,T,0.0,0
2024-02-09,76,68,72.0,1.8,0,7,0.00,0.0,0
2024-02-10,78,68,73.0,2.7,0,8,0.00,0.0,0
2024-02-11,80,71,75.5,5.1,0,11,0.05,0.0,0
2024-02-12,85,72,78.5,8.0,0,14,T,0.0,0
2024-02-13,82,63,72.5,1.9,0,8,0.10,0.0,0
2024-02-14,80,58,69.0,-1.7,0,4,0.00,0.0,0
2024-02-15,78,63,70.5,-0.3,0,6,0.00,0.0,0
2024-02-16,79,66,72.5,1.6,0,8,0.00,0.0,0
2024-02-17,84,66,75.0,4.0,0,10,T,0.0,0
2024-02-18,76,63,69.5,-1.6,0,5,1.88,0.0,0
2024-02-19,70,58,64.0,-7.2,1,0,0.11,0.0,0
2024-02-20,70,54,62.0,-9.3,3,0,0.00,0.0,0
2024-02-21,74,55,64.5,-6.9,0,0,0.00,0.0,0
2024-02-22,77,56,66.5,-5.0,0,2,0.00,0.0,0
2024-02-23,79,56,67.5,-4.0,0,3,0.00,0.0,0
2024-02-24,76,60,68.0,-3.6,0,3,0.03,0.0,0
2024-02-25,77,54,65.5,-6.2,0,1,0.00,0.0,0
2024-02-26,76,56,66.0,-5.8,0,1,0.00,0.0,0
2024-02-27,78,59,68.5,-3.3,0,4,0.00,0.0,0
2024-02-28,80,68,74.0,2.1,0,9,0.00,0.0,0
2024-02-29,81,66,73.5,1.6,0,9,T,0.0,0
Sum,2233,1768,-,-,6,129,3.03,0.0,-
Average,77.0,61.0,69.0,-1.7,-,-,-,-,0.0
Normal,78.2,63.2,70.7,-,22,182,2.15,0.0,-
Average,77.0,61.0,69.0,,,,,,
Normal,78.2,63.2,70.7,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : midnight,,,,,,,
,,Snow Depth : 7am,,,,,,,
