date,time,am/pm,temp,dew point,humidity,wind speed
2024-02-03,1:51,AM,37,24,59,17
2024-02-03,2:51,AM,36,24,62,8
2024-02-03,3:51,AM,35,23,61,10
2024-02-03,4:51,AM,35,23,61,9
2024-02-03,5:51,AM,35,23,61,14
2024-02-03,6:51,AM,34,23,64,13
2024-02-03,7:51,AM,33,22,64,12
2024-02-03,8:51,AM,33,21,61,15
2024-02-03,9:51,AM,34,21,59,18
2024-02-03,10:51,AM,35,21,57,16
2024-02-03,11:51,AM,36,20,52,17
2024-02-03,12:51,PM,38,20,48,16
2024-02-03,1:51,PM,39,19,45,14
2024-02-03,2:51,PM,41,18,40,15
2024-02-03,3:51,PM,41,17,38,14
2024-02-03,4:51,PM,42,18,38,12
2024-02-03,5:51,PM,41,17,38,16
2024-02-03,6:51,PM,39,19,45,8
2024-02-03,7:51,PM,39,19,45,7
2024-02-03,8:51,PM,39,19,45,8
2024-02-03,9:51,PM,38,19,47,10
2024-02-03,10:51,PM,38,20,48,8
2024-02-03,11:51,PM,37,20,50,9
2024-02-03,12:51,AM,36,21,55,7
2024-02-17,1:10,AM,35,19,52,0
2024-02-17,1:51,AM,33,21,61,7
2024-02-17,2:08,AM,32,21,64,7
2024-02-17,2:33,AM,31,23,72,9
2024-02-17,2:40,AM,31,24,76,8
2024-02-17,2:51,AM,31,24,76,8
2024-02-17,3:51,AM,30,26,85,8
2024-02-17,4:42,AM,30,26,85,9
2024-02-17,4:51,AM,30,26,85,7
2024-02-17,5:51,AM,30,26,85,7
2024-02-17,6:13,AM,30,26,85,5
2024-02-17,6:32,AM,30,26,85,6
2024-02-17,6:51,AM,30,26,85,5
2024-02-17,7:51,AM,31,26,82,6
2024-02-17,8:51,AM,31,27,85,6
2024-02-17,9:51,AM,32,27,82,6
2024-02-17,10:51,AM,33,28,82,8
2024-02-17,11:41,AM,34,28,79,7
2024-02-17,11:51,AM,34,28,79,8
2024-02-17,12:16,PM,33,26,75,8
2024-02-17,12:51,PM,34,25,70,13
2024-02-17,1:37,PM,35,26,70,8
2024-02-17,1:51,PM,35,22,59,12
2024-02-17,2:37,PM,35,20,54,18
2024-02-17,2:51,PM,35,21,57,16
2024-02-17,2:57,PM,35,21,57,17
2024-02-17,3:51,PM,35,14,42,17
2024-02-17,4:51,PM,36,12,37,16
2024-02-17,5:51,PM,36,13,39,14
2024-02-17,6:51,PM,34,13,42,21
2024-02-17,7:51,PM,32,15,50,16
2024-02-17,8:51,PM,31,13,47,14
2024-02-17,9:51,PM,31,12,46,15
2024-02-17,10:51,PM,29,11,47,12
2024-02-17,11:51,PM,29,13,51,10
2024-02-17,12:51,AM,28,11,49,7
2024-02-16,1:51,AM,39,26,60,20
2024-02-16,2:51,AM,39,25,57,18
2024-02-16,3:51,AM,40,25,55,18
2024-02-16,4:51,AM,40,21,47,22
2024-02-16,5:51,AM,40,20,45,17
2024-02-16,6:51,AM,38,16,41,23
