temp,dew point,humidity,wind speed,datetime
46,32,58,5,2024-02-01 00:51:00
39,30,70,0,2024-02-01 01:46:00
40,30,68,0,2024-02-01 01:51:00
39,30,70,5,2024-02-01 02:46:00
40,29,65,6,2024-02-01 02:51:00
39,28,65,5,2024-02-01 03:51:00
38,29,70,7,2024-02-01 04:51:00
37,30,76,6,2024-02-01 05:42:00
37,30,76,7,2024-02-01 05:51:00
37,30,76,6,2024-02-01 06:51:00
37,30,76,8,2024-02-01 07:51:00
38,32,79,9,2024-02-01 08:51:00
40,31,70,9,2024-02-01 09:51:00
41,31,67,12,2024-02-01 10:51:00
42,31,65,10,2024-02-01 11:51:00
42,32,67,9,2024-02-01 12:51:00
44,32,63,9,2024-02-01 13:51:00
44,31,60,12,2024-02-01 14:51:00
45,31,58,10,2024-02-01 15:51:00
45,30,56,12,2024-02-01 16:51:00
45,30,56,9,2024-02-01 17:51:00
45,31,58,6,2024-02-01 18:51:00
45,31,58,8,2024-02-01 19:51:00
44,31,60,6,2024-02-01 20:51:00
46,31,56,7,2024-02-01 21:51:00
46,31,56,3,2024-02-01 22:51:00
46,31,56,6,2024-02-01 23:51:00
38,25,60,12,2024-02-02 00:51:00
45,33,63,7,2024-02-02 01:51:00
44,33,65,5,2024-02-02 02:10:00
43,34,71,6,2024-02-02 02:51:00
42,35,76,0,2024-02-02 03:51:00
42,36,79,7,2024-02-02 04:15:00
42,36,79,6,2024-02-02 04:51:00
42,36,79,6,2024-02-02 05:51:00
42,36,79,6,2024-02-02 06:51:00
43,37,80,8,2024-02-02 07:51:00
43,37,80,6,2024-02-02 08:51:00
43,37,80,3,2024-02-02 09:36:00
43,38,82,0,2024-02-02 09:51:00
43,37,80,6,2024-02-02 10:19:00
42,37,82,5,2024-02-02 10:23:00
42,37,82,6,2024-02-02 10:51:00
42,37,82,9,2024-02-02 11:51:00
42,37,82,9,2024-02-02 11:54:00
41,36,82,12,2024-02-02 12:28:00
41,36,82,12,2024-02-02 12:51:00
41,35,79,12,2024-02-02 13:24:00
41,36,82,12,2024-02-02 13:51:00
41,35,79,13,2024-02-02 14:00:00
42,36,79,9,2024-02-02 14:51:00
43,35,74,10,2024-02-02 15:51:00
42,34,73,13,2024-02-02 16:51:00
42,33,70,16,2024-02-02 17:51:00
41,32,70,13,2024-02-02 18:51:00
41,30,65,13,2024-02-02 19:51:00
40,29,65,13,2024-02-02 20:51:00
41,28,60,12,2024-02-02 21:51:00
