0,1,2,3,4,5,6,7,8,9,10,11,12,13
"3/5/24, 12:23 PM",,,,,,,,about:blank,,,,,
,,,"Monthly Highest Max Temperature for Austin-Bergstrom Airport Area, TX (ThreadEx)",,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,86,85,91,97,95,95,105,106,112,96,83,73,112
2001,75,78,78,88,92,96,102,103,94,92,83,79,103
2002,81,80,85,93,95,97,95,101,97,94,89,78,101
2003,84,78,84,94,100,97,97,108,96,92,85,78,108
2004,81,76,86,86,99,97,97,100,96,92,83,81,100
2005,80,82,88,91,97,100,104,102,108,98,89,82,108
2006,86,84,93,100,97,102,102,103,102,95,87,80,103
2007,78,83,83,84,90,93,93,99,94,93,86,85,99
2008,78,89,93,89,99,101,102,103,101,92,90,81,103
2009,82,89,88,95,94,107,105,104,98,92,80,75,107
2010,77,77,82,88,96,99,97,107,99,91,87,80,107
2011,81,85,88,95,100,105,103,110,104,94,87,77,110
2012,77,89,87,94,95,106,100,105,102,91,87,84,106
2013,85,83,90,88,95,107,104,105,102,92,89,86,107
2014,79,84,90,92,93,96,100,103,100,94,82,78,103
2015,80,81,82,91,88,94,101,103,99,97,87,82,103
2016,80,82,88,90,91,100,100,102,97,93,91,85,102
2017,85,90,88,95,98,102,106,102,96,92,89,85,106
2018,74,83,89,87,98,100,109,103,100,92,88,80,109
2019,78,87,87,93,94,98,100,102,101,97,87,82,102
2020,82,80,92,97,95,98,104,105,101,96,89,83,105
2021,78,86,86,89,91,96,95,98,99,92,82,85,99
2022,79,85,88,93,99,103,106,104,98,96,86,82,106
2023,83,90,88,91,91,102,105,110,107,100,85,77,110
2024,78,87,83,M,M,M,M,M,M,M,M,M,87
Mean,80,84,87,92,95,100,101,104,100,94,86,81,104
,86,90,93,100,100,107,109,110,112,100,91,86,112
Max,,,,,,,,,,,,,
,2006,2023,2008,2006,2011,2013,2018,2023,2000,2023,2016,2013,2000
,74,76,78,84,88,93,93,98,94,91,80,73,87
Min,,,,,,,,,,,,,
,2018,2004,2001,2007,2015,2007,2007,2021,2007,2012,2009,2000,2024
