0,1,2,3,4,5,6,7,8,9
,,"Climatological Data for Austin-Bergstrom Airport Area, TX (ThreadEx) - February 2024",,,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2024-02-01,73,40,56.5,4.8,8,0,0.00,0.0,0
2024-02-02,68,59,63.5,11.6,1,0,1.11,0.0,0
2024-02-03,72,44,58.0,5.9,7,0,0.10,0.0,0
2024-02-04,68,46,57.0,4.8,8,0,0.00,0.0,0
2024-02-05,64,40,52.0,-0.4,13,0,0.00,0.0,0
2024-02-06,69,36,52.5,-0.1,12,0,0.00,0.0,0
2024-02-07,71,37,54.0,1.2,11,0,0.00,0.0,0
2024-02-08,73,57,65.0,12.1,0,0,0.00,0.0,0
2024-02-09,75,60,67.5,14.4,0,3,0.00,0.0,0
2024-02-10,66,59,62.5,9.2,2,0,0.80,0.0,0
2024-02-11,60,47,53.5,0.0,11,0,0.04,0.0,0
2024-02-12,61,36,48.5,-5.2,16,0,0.00,0.0,0
2024-02-13,67,31,49.0,-4.9,16,0,0.00,0.0,0
2024-02-14,68,35,51.5,-2.6,13,0,0.00,0.0,0
2024-02-15,69,56,62.5,8.2,2,0,0.00,0.0,0
2024-02-16,73,52,62.5,8.0,2,0,0.00,0.0,0
2024-02-17,52,37,44.5,-10.2,20,0,0.00,0.0,0
2024-02-18,54,32,43.0,-11.9,22,0,0.00,0.0,0
2024-02-19,68,28,48.0,-7.1,17,0,0.00,0.0,0
2024-02-20,79,35,57.0,1.7,8,0,0.00,0.0,0
2024-02-21,77,57,67.0,11.5,0,2,T,0.0,0
2024-02-22,87,64,75.5,19.8,0,11,0.00,0.0,0
2024-02-23,75,48,61.5,5.6,3,0,0.00,0.0,0
2024-02-24,79,42,60.5,4.3,4,0,0.00,0.0,0
2024-02-25,83,42,62.5,6.1,2,0,0.00,0.0,0
2024-02-26,82,56,69.0,12.4,0,4,0.00,0.0,0
2024-02-27,80,67,73.5,16.7,0,9,0.00,0.0,0
2024-02-28,70,47,58.5,1.4,6,0,0.00,0.0,0
2024-02-29,49,43,46.0,-11.2,19,0,0.04,0.0,0
Sum,2032,1333,-,-,223,29,2.09,0.0,-
Average,70.1,46.0,58.0,3.8,-,-,-,-,0.0
Normal,66.4,42.1,54.2,-,321,20,1.89,0.1,-
Average,70.1,46.0,58.0,,,,,,
Normal,66.4,42.1,54.2,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : midnight,,,,,,,
,,Snow Depth : 6am,,,,,,,
