0,1,2,3,4,5,6,7,8,9
,,"Climatological Data for Austin-Bergstrom Airport Area, TX (ThreadEx) - March 2023",,,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2023-03-01,84,69,76.5,19.2,0,12,0.00,0.0,0
2023-03-02,81,56,68.5,10.9,0,4,0.68,0.0,0
2023-03-03,73,46,59.5,1.7,5,0,0.00,0.0,0
2023-03-04,78,37,57.5,-0.5,7,0,0.00,0.0,0
2023-03-05,78,46,62.0,3.7,3,0,0.00,0.0,0
2023-03-06,81,57,69.0,10.5,0,4,T,0.0,0
2023-03-07,80,62,71.0,12.2,0,6,0.00,0.0,0
2023-03-08,80,62,71.0,12.0,0,6,0.00,0.0,0
2023-03-09,84,59,71.5,12.2,0,7,0.00,0.0,0
2023-03-10,73,56,64.5,5.0,0,0,0.00,0.0,0
2023-03-11,88,54,71.0,11.2,0,6,T,0.0,0
2023-03-12,74,58,66.0,6.0,0,1,0.00,0.0,0
2023-03-13,68,50,59.0,-1.3,6,0,0.00,0.0,0
2023-03-14,67,45,56.0,-4.6,9,0,0.00,0.0,0
2023-03-15,74,40,57.0,-3.8,8,0,0.00,0.0,0
2023-03-16,81,52,66.5,5.4,0,2,0.88,T,0
2023-03-17,57,41,49.0,-12.3,16,0,0.02,0.0,0
2023-03-18,53,45,49.0,-12.6,16,0,T,0.0,0
2023-03-19,59,36,47.5,-14.3,17,0,0.00,0.0,0
2023-03-20,56,34,45.0,-17.1,20,0,0.01,0.0,0
2023-03-21,69,52,60.5,-1.8,4,0,0.21,0.0,0
2023-03-22,78,68,73.0,10.4,0,8,0.00,0.0,0
2023-03-23,81,69,75.0,12.2,0,10,0.00,0.0,0
2023-03-24,86,50,68.0,4.9,0,3,0.09,0.0,0
2023-03-25,81,45,63.0,-0.3,2,0,0.00,0.0,0
2023-03-26,80,45,62.5,-1.1,2,0,T,0.0,0
2023-03-27,77,53,65.0,1.2,0,0,0.00,0.0,0
2023-03-28,70,56,63.0,-1.0,2,0,0.01,0.0,0
2023-03-29,72,52,62.0,-2.3,3,0,0.00,0.0,0
2023-03-30,76,60,68.0,3.5,0,3,T,0.0,0
2023-03-31,86,55,70.5,5.8,0,6,T,0.0,0
Sum,2325,1610,-,-,120,78,1.90,T,-
Average,75.0,51.9,63.5,2.5,-,-,-,-,0.0
Normal,73.1,49.0,61.0,-,184,61,2.90,0.0,-
Average,75.0,51.9,63.5,,,,,,
Normal,73.1,49.0,61.0,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : unknown,,,,,,,
,,Snow Depth : unknown,,,,,,,
