0,1,2,3,4,5,6,7,8,9
,,"Climatological Data for New York-Central Park Area, NY (ThreadEx) - April 2023",,,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2023-04-01,72,51,61.5,13.4,3,0,0.38,0.0,0
2023-04-02,51,40,45.5,-2.9,19,0,0.00,0.0,0
2023-04-03,59,39,49.0,0.2,16,0,0.00,0.0,0
2023-04-04,73,48,60.5,11.3,4,0,0.00,0.0,0
2023-04-05,57,46,51.5,1.9,13,0,0.00,0.0,0
2023-04-06,80,47,63.5,13.5,1,0,T,0.0,0
2023-04-07,60,42,51.0,0.6,14,0,0.00,0.0,0
2023-04-08,54,37,45.5,-5.3,19,0,0.00,0.0,0
2023-04-09,57,40,48.5,-2.7,16,0,0.00,0.0,0
2023-04-10,68,42,55.0,3.4,10,0,0.00,0.0,0
2023-04-11,75,51,63.0,11.0,2,0,0.00,0.0,0
2023-04-12,84,64,74.0,21.6,0,9,0.00,0.0,0
2023-04-13,90,67,78.5,25.7,0,14,0.00,0.0,0
2023-04-14,91,70,80.5,27.3,0,16,0.00,0.0,0
2023-04-15,75,59,67.0,13.4,0,2,0.02,0.0,0
2023-04-16,71,57,64.0,10.0,1,0,0.00,0.0,0
2023-04-17,68,53,60.5,6.2,4,0,T,0.0,0
2023-04-18,57,45,51.0,-3.7,14,0,0.00,0.0,0
2023-04-19,64,45,54.5,-0.6,10,0,0.00,0.0,0
2023-04-20,66,45,55.5,0.0,9,0,T,0.0,0
2023-04-21,71,51,61.0,5.2,4,0,0.00,0.0,0
2023-04-22,67,51,59.0,2.8,6,0,0.68,0.0,0
2023-04-23,69,50,59.5,3.0,5,0,1.51,0.0,0
2023-04-24,62,44,53.0,-3.9,12,0,0.00,0.0,0
2023-04-25,60,46,53.0,-4.2,12,0,0.00,0.0,0
2023-04-26,60,46,53.0,-4.6,12,0,0.00,0.0,0
2023-04-27,57,49,53.0,-4.9,12,0,0.00,0.0,0
2023-04-28,56,47,51.5,-6.7,13,0,0.33,0.0,0
2023-04-29,53,47,50.0,-8.5,15,0,2.46,0.0,0
2023-04-30,60,50,55.0,-3.9,10,0,2.32,0.0,0
Sum,1987,1469,-,-,256,41,7.70,0.0,-
Average,66.2,49.0,57.6,3.9,-,-,-,-,0.0
Normal,61.8,45.5,53.7,-,354,14,4.09,0.4,-
Average,66.2,49.0,57.6,,,,,,
Normal,61.8,45.5,53.7,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : unknown,,,,,,,
,,Snow Depth : midnight,,,,,,,
