0,1,2,3,4,5,6,7,8,9
,,"Climatological Data for New York-Central Park Area, NY (ThreadEx) - February 2024",,,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2024-02-01,46,37,41.5,7.8,23,0,0.00,0.0,0
2024-02-02,46,38,42.0,8.2,23,0,0.32,0.0,0
2024-02-03,43,32,37.5,3.6,27,0,0.00,0.0,0
2024-02-04,46,31,38.5,4.5,26,0,0.00,0.0,0
2024-02-05,45,32,38.5,4.3,26,0,0.00,0.0,0
2024-02-06,42,29,35.5,1.2,29,0,0.00,0.0,0
2024-02-07,48,33,40.5,6.1,24,0,0.00,0.0,0
2024-02-08,53,37,45.0,10.4,20,0,0.00,0.0,0
2024-02-09,55,43,49.0,14.2,16,0,0.00,0.0,0
2024-02-10,60,47,53.5,18.6,11,0,0.00,0.0,0
2024-02-11,56,43,49.5,14.4,15,0,0.00,0.0,0
2024-02-12,48,37,42.5,7.2,22,0,T,0.0,0
2024-02-13,41,33,37.0,1.6,28,0,0.77,3.2,1
2024-02-14,38,29,33.5,-2.1,31,0,T,T,2
2024-02-15,39,27,33.0,-2.8,32,0,0.00,0.0,T
2024-02-16,43,36,39.5,3.5,25,0,0.00,0.0,0
2024-02-17,36,27,31.5,-4.7,33,0,0.18,2.0,2
2024-02-18,40,26,33.0,-3.4,32,0,0.00,0.0,T
2024-02-19,41,31,36.0,-0.6,29,0,0.00,0.0,0
2024-02-20,40,26,33.0,-3.8,32,0,0.00,0.0,0
2024-02-21,43,30,36.5,-0.5,28,0,0.00,0.0,0
2024-02-22,45,35,40.0,2.8,25,0,0.04,0.0,0
2024-02-23,47,42,44.5,7.1,20,0,0.04,0.0,0
2024-02-24,44,28,36.0,-1.6,29,0,0.00,0.0,0
2024-02-25,41,23,32.0,-5.9,33,0,0.00,0.0,0
2024-02-26,55,35,45.0,6.9,20,0,0.01,0.0,0
2024-02-27,55,40,47.5,9.2,17,0,0.52,0.0,0
2024-02-28,62,44,53.0,14.5,12,0,0.17,0.0,0
2024-02-29,43,31,37.0,-1.6,28,0,0.00,0.0,0
Sum,1341,982,-,-,716,0,2.05,5.2,-
Average,46.2,33.9,40.1,4.2,-,-,-,-,0.2
Normal,42.2,29.5,35.9,-,816,0,3.19,10.1,-
Average,46.2,33.9,40.1,,,,,,
Normal,42.2,29.5,35.9,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : midnight,,,,,,,
,,Snow Depth : 7am,,,,,,,
