0,1,2,3,4,5,6,7,8,9
,,,"Climatological Data for CHICAGO MIDWAY AP 3SW, IL - March 2023",,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2023-03-01,57,37,47.0,12.3,18,0,0.07,0.0,0
2023-03-02,39,34,36.5,1.5,28,0,0.00,0.0,0
2023-03-03,39,32,35.5,0.1,29,0,0.03,T,0
2023-03-04,50,28,39.0,3.2,26,0,0.01,0.0,0
2023-03-05,49,30,39.5,3.4,25,0,0.03,0.0,0
2023-03-06,56,38,47.0,10.5,18,0,0.17,0.0,0
2023-03-07,44,36,40.0,3.1,25,0,0.00,0.0,0
2023-03-08,46,36,41.0,3.8,24,0,0.00,0.0,0
2023-03-09,41,33,37.0,-0.6,28,0,0.21,0.2,T
2023-03-10,37,33,35.0,-2.9,30,0,0.07,0.3,T
2023-03-11,39,33,36.0,-2.3,29,0,0.18,1.1,1
2023-03-12,37,30,33.5,-5.1,31,0,0.06,0.4,0
2023-03-13,33,26,29.5,-9.5,35,0,0.03,0.3,0
2023-03-14,38,22,30.0,-9.3,35,0,0.00,0.0,0
2023-03-15,50,25,37.5,-2.2,27,0,0.00,0.0,0
2023-03-16,52,42,47.0,7.0,18,0,0.25,0.0,0
2023-03-17,52,23,37.5,-2.8,27,0,0.08,T,0
2023-03-18,26,13,19.5,-21.2,45,0,T,T,0
2023-03-19,41,19,30.0,-11.0,35,0,0.00,0.0,0
2023-03-20,52,28,40.0,-1.3,25,0,0.00,0.0,0
2023-03-21,56,37,46.5,4.8,18,0,T,0.0,0
2023-03-22,53,41,47.0,5.0,18,0,0.11,0.0,0
2023-03-23,49,37,43.0,0.6,22,0,0.32,0.0,0
2023-03-24,45,37,41.0,-1.7,24,0,0.02,0.0,0
2023-03-25,45,35,40.0,-3.0,25,0,0.47,T,0
2023-03-26,48,34,41.0,-2.4,24,0,0.31,T,0
2023-03-27,47,32,39.5,-4.2,25,0,0.00,0.0,0
2023-03-28,52,30,41.0,-3.1,24,0,0.00,0.0,0
2023-03-29,43,30,36.5,-7.9,28,0,T,T,0
2023-03-30,58,27,42.5,-2.2,22,0,0.00,0.0,0
2023-03-31,70,50,60.0,14.9,5,0,0.42,0.0,0
Sum,1444,988,-,-,793,0,2.84,2.3,-
Average,46.6,31.9,39.2,-0.7,-,-,-,-,0.0
Normal,47.9,32.0,39.9,-,779,2,2.66,5.7,-
Average,46.6,31.9,39.2,,,,,,
Normal,47.9,32.0,39.9,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : unknown,,,,,,,
,,Snow Depth : unknown,,,,,,,
