0,1,2,3,4,5,6,7,8,9
,,,"Climatological Data for Miami Area, FL (ThreadEx) - April 2023",,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2023-04-01,86,73,79.5,4.8,0,15,0.51,0.0,0
2023-04-02,90,72,81.0,6.1,0,16,0.00,0.0,0
2023-04-03,86,73,79.5,4.5,0,15,0.00,0.0,0
2023-04-04,86,76,81.0,5.8,0,16,0.00,0.0,0
2023-04-05,87,77,82.0,6.7,0,17,T,0.0,0
2023-04-06,87,77,82.0,6.6,0,17,T,0.0,0
2023-04-07,85,77,81.0,5.4,0,16,0.00,0.0,0
2023-04-08,86,75,80.5,4.8,0,16,0.04,0.0,0
2023-04-09,88,72,80.0,4.1,0,15,T,0.0,0
2023-04-10,80,70,75.0,-1.0,0,10,2.47,0.0,0
2023-04-11,77,68,72.5,-3.6,0,8,2.76,0.0,0
2023-04-12,76,69,72.5,-3.8,0,8,2.15,0.0,0
2023-04-13,87,73,80.0,3.6,0,15,0.00,0.0,0
2023-04-14,89,73,81.0,4.4,0,16,0.20,0.0,0
2023-04-15,89,75,82.0,5.3,0,17,0.00,0.0,0
2023-04-16,88,73,80.5,3.7,0,16,0.07,0.0,0
2023-04-17,89,69,79.0,2.0,0,14,0.25,0.0,0
2023-04-18,85,67,76.0,-1.1,0,11,0.00,0.0,0
2023-04-19,83,70,76.5,-0.7,0,12,0.00,0.0,0
2023-04-20,85,70,77.5,0.2,0,13,0.00,0.0,0
2023-04-21,85,72,78.5,1.0,0,14,0.20,0.0,0
2023-04-22,89,72,80.5,2.9,0,16,0.01,0.0,0
2023-04-23,87,73,80.0,2.3,0,15,0.00,0.0,0
2023-04-24,82,74,78.0,0.2,0,13,0.98,0.0,0
2023-04-25,87,69,78.0,0.1,0,13,0.23,0.0,0
2023-04-26,88,72,80.0,2.0,0,15,T,0.0,0
2023-04-27,89,73,81.0,2.8,0,16,0.00,0.0,0
2023-04-28,88,75,81.5,3.2,0,17,0.00,0.0,0
2023-04-29,91,78,84.5,6.1,0,20,0.08,0.0,0
2023-04-30,86,73,79.5,1.0,0,15,T,0.0,0
Sum,2581,2180,-,-,0,437,9.95,0.0,-
Average,86.0,72.7,79.4,2.7,-,-,-,-,0.0
Normal,83.6,69.8,76.7,-,0,352,3.36,0.0,-
Average,86.0,72.7,79.4,,,,,,
Normal,83.6,69.8,76.7,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : unknown,,,,,,,
,,Snow Depth : unknown,,,,,,,
