0,1,2,3,4,5,6,7,8,9
,,,"Climatological Data for Miami Area, FL (ThreadEx) - March 2023",,,,,,
,,Temperature,,,,,,,
Date,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2023-03-01,85,62,73.5,1.5,0,9,0.00,0.0,0
2023-03-02,84,70,77.0,5.0,0,12,0.00,M,M
2023-03-03,87,75,81.0,8.9,0,16,0.00,0.0,0
2023-03-04,89,71,80.0,7.8,0,15,0.00,0.0,0
2023-03-05,89,68,78.5,6.3,0,14,0.00,0.0,0
2023-03-06,91,72,81.5,9.2,0,17,0.00,0.0,0
2023-03-07,91,71,81.0,8.7,0,16,0.00,0.0,0
2023-03-08,90,74,82.0,9.6,0,17,0.01,0.0,0
2023-03-09,80,72,76.0,3.5,0,11,T,0.0,0
2023-03-10,82,66,74.0,1.5,0,9,0.00,0.0,0
2023-03-11,86,69,77.5,4.9,0,13,0.00,0.0,0
2023-03-12,88,67,77.5,4.8,0,13,0.00,0.0,0
2023-03-13,90,71,80.5,7.8,0,16,0.00,0.0,0
2023-03-14,85,71,78.0,5.2,0,13,0.00,0.0,0
2023-03-15,76,65,70.5,-2.4,0,6,0.03,0.0,0
2023-03-16,77,59,68.0,-5.0,0,3,0.00,0.0,0
2023-03-17,81,68,74.5,1.4,0,10,0.00,0.0,0
2023-03-18,87,69,78.0,4.8,0,13,0.00,0.0,0
2023-03-19,79,62,70.5,-2.7,0,6,0.08,0.0,0
2023-03-20,77,59,68.0,-5.3,0,3,0.29,0.0,0
2023-03-21,80,62,71.0,-2.4,0,6,0.00,0.0,0
2023-03-22,82,66,74.0,0.5,0,9,0.00,0.0,M
2023-03-23,83,73,78.0,4.4,0,13,0.00,0.0,0
2023-03-24,85,70,77.5,3.7,0,13,0.03,0.0,0
2023-03-25,86,74,80.0,6.1,0,15,0.00,0.0,0
2023-03-26,86,75,80.5,6.5,0,16,0.00,0.0,0
2023-03-27,87,75,81.0,6.9,0,16,0.00,0.0,0
2023-03-28,88,74,81.0,6.8,0,16,0.18,0.0,0
2023-03-29,88,68,78.0,3.6,0,13,0.39,0.0,0
2023-03-30,78,72,75.0,0.5,0,10,3.49,0.0,0
2023-03-31,83,73,78.0,3.4,0,13,0.00,0.0,0
Sum,2620,2143,-,-,0,372,4.50,0.0,-
Average,84.5,69.1,76.8,3.7,-,-,-,-,0.0
Normal,80.6,65.6,73.1,-,8,260,2.46,0.0,-
Average,84.5,69.1,76.8,,,,,,
Normal,80.6,65.6,73.1,,,,,,
,Observations for each day cover the 24 hours ending,,,,,,,,
,at the time given below (Local Standard Time).,,,,,,,,
,,Max Temperature : midnight,,,,,,,
,,Min Temperature : midnight,,,,,,,
,,Precipitation : midnight,,,,,,,
,,Snowfall : unknown,,,,,,,
,,Snow Depth : unknown,,,,,,,
