Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max,Avg,Min
75,67.7,57
65,56.8,52
66,57.5,50
72,60.9,50
76,68.5,57
80,74.1,71
84,77.1,73
84,76.6,73
82,75.5,70
82,75.8,71
80,75.9,73
82,76.3,72
82,77.9,75
85,79.1,76
85,79.1,76
83,77.1,72
83,77.1,73
85,79.1,75
84,77.9,67
76,67.8,62
76,70.7,64
81,74.8,70
84,76.0,71
80,74.3,71
85,75.2,68
83,77.3,71
83,78.4,75
82,78.4,75
Max,Avg,Min
67,56.2,45
45,40.4,35
48,41.1,36
55,45.3,33
67,60.0,52
74,71.1,68
74,72.0,70
75,72.2,68
71,70.0,69
70,68.5,66
70,68.6,67
72,70.1,68
73,71.7,70
74,72.8,71
75,73.0,70
75,72.9,70
74,72.1,71
73,70.9,68
74,71.3,63
63,58.1,53
62,58.2,54
69,66.8,62
72,69.0,66
71,68.3,64
70,67.5,63
70,67.9,66
70,68.7,67
72,69.2,65
Max,Avg,Min
93,68.5,42
71,55.4,37
74,56.5,34
75,57.8,34
90,74.9,56
97,90.5,74
100,85.1,63
100,86.7,63
100,83.8,67
93,78.8,60
87,78.6,64
91,81.6,67
91,81.3,69
94,81.8,63
94,82.4,63
94,87.2,69
96,84.6,72
91,76.4,63
91,80.8,62
88,71.7,56
78,65.1,50
85,76.2,65
93,79.8,56
91,81.9,64
96,78.2,49
90,73.5,56
82,72.5,62
82,73.6,67
Max,Avg,Min
21,12.2,5
17,11.6,7
12,7.4,3
14,6.3,3
14,6.9,0
16,8.3,3
16,8.2,0
15,5.2,0
13,6.3,0
14,9.3,5
17,10.2,5
15,8.6,0
16,9.8,5
17,9.6,5
16,8.9,0
17,8.3,0
15,7.6,0
18,11.2,6
15,8.9,0
14,9.8,5
22,15.2,5
17,12.1,6
12,6.4,0
12,6.0,0
9,4.1,0
15,8.3,0
20,14.2,7
21,13.8,8
Max,Avg,Min
30.0,29.9,29.8
30.0,30.0,29.9
30.1,30.1,30.0
30.2,30.1,30.1
30.1,30.0,29.9
30.0,30.0,29.9
30.0,30.0,29.9
30.1,30.1,30.0
30.2,30.1,30.1
30.2,30.1,30.1
30.1,30.0,30.0
30.0,30.0,29.9
30.0,29.9,29.9
30.0,30.0,29.9
30.0,30.0,30.0
30.1,30.0,30.0
30.1,30.1,30.0
30.1,30.1,30.0
30.1,30.1,30.0
30.2,30.1,30.1
30.3,30.2,30.2
30.2,30.1,30.1
30.1,30.1,30.0
30.2,30.1,30.1
30.2,30.1,30.1
30.2,30.1,30.1
30.2,30.2,30.1
30.2,30.1,30.1
Total
0.00
0.02
0.00
0.00
0.00
0.00
0.98
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.22
1.26
0.00
0.00
0.21
0.00
0.01
0.00
0.06
0.13
0.00
0.01
0.00
