Time Temperature (°F) Dew Point (°F) Humidity (%) Wind Speed (mph) Pressure (in) Precipitation (in)
Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
89 77.5 70
77 69.4 62
74 69.8 64
76 71.1 67
76 71.1 65
77 71.0 63
79 71.9 63
80 73.0 64
81 74.9 68
84 77.3 72
89 75.8 66
87 75.4 67
87 77.7 69
82 76.6 72
83 76.6 70
87 78.6 70
89 80.4 72
89 81.0 73
91 82.5 75
84 77.3 71
87 79.6 77
84 77.9 73
84 78.7 74
86 80.5 77
92 83.2 76
85 79.0 75
84 78.3 74
83 78.9 74
86 81.1 77
87 81.2 76
Max Avg Min
71 67.5 57
57 50.8 46
54 50.3 47
53 49.8 47
55 52.2 50
58 56.0 53
58 56.0 54
61 58.6 57
64 62.5 61
71 66.8 62
72 67.3 62
73 69.1 63
69 59.6 45
67 64.1 61
66 64.6 61
70 66.7 64
72 67.5 64
74 70.5 68
75 72.5 70
75 71.7 66
75 72.5 69
72 65.1 57
69 67.4 65
74 70.9 69
75 72.0 67
74 68.0 62
69 64.4 59
70 64.6 62
72 71.5 70
73 71.4 69
Max Avg Min
85 72.2 46
61 52.1 37
65 50.5 40
59 47.3 40
61 51.7 40
75 59.7 50
75 57.9 43
80 61.3 45
81 66.0 54
85 70.3 60
93 75.9 53
93 81.7 59
93 60.0 24
81 65.9 52
78 66.5 54
87 68.0 49
87 66.5 46
84 70.9 59
88 72.3 50
94 83.0 67
94 79.4 57
87 65.5 47
76 68.5 56
84 72.7 61
91 71.0 45
94 70.1 54
76 62.7 48
79 62.0 51
82 72.8 59
85 72.7 59
Max Avg Min
17 6.6 0
18 12.7 8
18 12.1 7
16 9.9 6
15 8.5 0
13 7.0 0
15 7.3 0
13 8.1 0
17 9.6 0
17 11.3 5
21 11.7 0
9 5.9 0
15 4.6 0
17 9.6 3
14 7.3 0
15 7.0 0
15 8.6 3
14 6.3 0
20 10.3 5
18 8.9 0
12 4.8 0
12 7.9 3
17 12.5 5
20 13.7 5
14 8.4 3
17 9.0 3
20 13.2 7
14 10.5 5
17 11.0 5
13 6.7 0
Max Avg Min
30.1 30.0 29.9
30.2 30.1 30.0
30.3 30.2 30.2
30.3 30.2 30.1
30.2 30.1 30.1
30.1 30.1 30.1
30.1 30.1 30.0
30.1 30.0 30.0
30.1 30.0 30.0
30.0 29.9 29.9
29.9 29.8 29.7
29.9 29.9 29.8
30.1 30.0 29.9
30.1 30.1 30.0
30.1 30.0 29.9
29.9 29.9 29.8
29.9 29.9 29.9
30.0 29.9 29.9
30.0 29.9 29.9
30.0 30.0 29.9
30.0 30.0 29.9
30.1 30.0 30.0
30.1 30.1 30.0
30.0 30.0 29.9
30.0 29.9 29.9
30.1 30.0 29.9
30.1 30.1 30.0
30.1 30.1 30.0
30.1 30.0 30.0
30.1 30.0 30.0
Total
0.00
0.06
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
1.12
0.29
0.00
0.00
0.00
0.00
0.00
0.00
1.21
0.00
0.13
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
