Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max,Avg,Min
82,71.9,66
78,72.3,69
81,74.9,69
81,75.5,70
81,76.8,73
82,76.7,74
82,77.6,75
83,78.3,75
84,78.5,75
84,79.1,75
85,78.8,74
88,75.2,60
59,59.0,59
75,70.7,67
79,73.8,70
84,77.7,72
82,77.5,73
85,77.3,69
85,79.3,75
85,78.4,72
79,75.2,72
81,76.3,72
85,79.8,77
86,81.3,78
78,72.6,68
79,70.4,63
81,71.0,62
83,72.9,63
84,75.1,65
83,77.5,73
84,79.7,77
Max,Avg,Min
66,63.5,59
66,63.1,60
67,63.4,60
65,61.0,58
67,65.0,63
70,65.6,62
73,70.5,68
73,71.2,70
72,71.1,70
77,73.7,71
74,72.4,70
75,65.5,46
46,43.5,41
68,61.1,52
74,71.5,68
74,71.8,70
75,72.3,70
74,71.2,69
74,72.7,71
74,71.8,67
70,63.1,59
71,64.6,60
73,71.1,70
74,72.1,68
74,60.9,43
57,51.4,44
56,48.9,38
59,54.9,49
64,59.3,52
68,64.5,61
73,69.7,67
Max,Avg,Min
90,75.9,48
87,72.9,62
90,68.4,50
73,61.5,47
76,67.2,58
79,68.7,56
94,79.1,67
94,79.1,67
87,78.5,65
94,83.8,74
97,81.6,63
91,72.8,54
62,56.5,51
93,72.5,54
100,92.1,79
100,82.7,65
100,84.6,71
100,82.7,61
94,80.9,65
100,81.0,55
85,66.7,56
82,67.3,58
84,74.9,63
84,73.8,57
100,70.7,29
73,53.2,30
72,49.4,22
78,55.3,32
84,60.3,35
71,64.1,56
84,71.7,61
Max,Avg,Min
12,6.9,0
9,5.0,0
16,7.3,0
18,9.6,0
28,18.1,10
21,16.6,13
22,14.8,3
17,11.3,6
18,10.5,6
14,9.0,0
15,8.1,0
23,14.0,7
9,8.5,8
17,10.2,3
20,9.6,0
16,8.5,0
13,5.7,0
15,7.8,0
14,9.4,5
15,5.7,0
21,11.8,5
18,14.6,9
17,13.3,7
20,11.7,5
16,7.0,0
12,6.2,0
14,8.6,3
13,5.1,0
14,7.2,0
23,15.2,7
22,14.5,9
Max,Avg,Min
30.1,30.0,30.0
30.1,30.1,30.0
30.2,30.1,30.1
30.2,30.2,30.1
30.3,30.2,30.2
30.3,30.2,30.2
30.2,30.1,30.1
30.1,30.0,30.0
30.1,30.0,29.9
30.1,30.0,30.0
30.0,30.0,29.9
30.1,30.0,29.9
30.1,30.1,30.1
30.3,30.2,30.2
30.2,30.1,30.0
30.1,30.0,30.0
30.1,30.0,30.0
30.1,30.1,30.0
30.1,30.1,30.0
30.1,30.1,30.1
30.2,30.1,30.1
30.1,30.1,30.0
30.0,30.0,29.9
30.0,30.0,29.9
30.0,29.9,29.9
30.0,30.0,29.9
30.1,30.1,30.0
30.2,30.1,30.1
30.2,30.1,30.1
30.1,30.1,30.0
30.0,30.0,29.9
Total
0.00
0.00
0.09
0.00
0.00
0.00
0.01
0.14
0.00
0.00
0.02
0.00
0.00
0.00
0.34
0.73
0.00
0.00
0.00
0.00
0.05
0.00
0.00
0.00
0.65
0.00
0.00
0.00
0.00
0.00
0.00
