Time Temperature (°F) Dew Point (°F) Humidity (%) Wind Speed (mph) Pressure (in) Precipitation (in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max Avg Min
84 76.5 69
83 76.4 70
87 76.7 70
74 70.2 64
81 72.0 68
80 74.0 68
79 74.5 70
80 75.4 70
82 77.3 74
82 77.2 74
86 78.2 73
77 71.3 65
74 65.8 59
77 68.6 58
81 75.3 71
82 77.0 74
82 77.1 73
82 74.7 71
83 77.1 71
84 77.7 72
85 76.7 70
84 77.0 69
83 78.6 75
85 77.9 71
83 76.9 69
86 76.7 69
84 75.8 67
87 76.8 67
Max Avg Min
71 68.7 67
71 68.6 67
69 65.7 62
68 63.5 59
71 68.9 66
67 64.0 61
64 59.9 57
65 59.2 56
69 68.0 66
71 68.1 67
73 71.0 68
73 62.7 54
55 48.2 44
60 55.5 50
65 62.3 60
70 65.3 61
74 71.1 69
71 68.7 66
70 67.6 64
70 67.6 65
69 67.5 65
70 67.9 65
70 68.3 67
70 66.3 61
66 64.5 59
67 64.7 62
68 64.0 61
66 61.1 54
Max Avg Min
96 77.5 58
93 77.9 58
93 70.7 48
93 79.3 71
100 90.4 60
87 71.5 56
76 61.0 50
71 57.4 47
82 73.5 62
87 74.1 60
91 79.2 55
93 75.7 50
72 54.4 35
81 63.9 49
71 64.2 54
84 67.5 56
94 82.1 69
100 82.3 62
87 73.0 53
90 71.7 56
93 74.4 53
93 74.5 54
79 70.7 60
90 68.9 44
87 66.5 44
87 67.7 46
90 68.0 52
84 60.8 37
Max Avg Min
12 5.5 0
13 5.8 0
13 6.5 0
22 12.8 3
15 6.5 0
15 6.3 0
17 10.6 0
16 12.0 3
20 14.3 9
15 9.5 5
16 8.5 0
17 10.0 3
16 7.8 0
15 7.6 0
18 11.9 6
16 11.7 6
13 6.7 0
15 6.9 0
13 6.5 0
13 5.1 0
13 4.7 0
14 6.8 0
13 8.7 3
14 6.5 0
12 4.1 0
10 4.7 0
13 6.5 0
10 5.8 0
Max Avg Min
30.2 30.2 30.1
30.2 30.1 30.1
30.2 30.1 30.0
30.3 30.2 30.1
30.2 30.1 30.0
30.2 30.1 30.1
30.3 30.2 30.1
30.3 30.2 30.2
30.2 30.2 30.1
30.2 30.1 30.1
30.1 30.0 30.0
30.0 30.0 29.9
30.1 30.0 30.0
30.1 30.1 30.0
30.2 30.1 30.1
30.2 30.1 30.1
30.1 30.1 30.1
30.2 30.2 30.1
30.2 30.2 30.1
30.2 30.1 30.1
30.1 30.1 30.0
30.2 30.1 30.1
30.3 30.2 30.1
30.3 30.3 30.2
30.3 30.2 30.2
30.2 30.1 30.0
30.1 30.0 30.0
30.1 30.0 30.0
Total
0.00
0.00
0.00
0.00
1.43
3.02
0.00
0.00
0.00
0.00
0.00
0.66
0.00
0.00
0.00
0.00
0.00
0.61
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
