Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max,Avg,Min
85,78.2,74
88,78.7,72
86,79.4,73
86,80.8,76
85,80.7,77
85,81.0,78
84,79.8,77
85,80.0,76
87,77.3,72
80,72.8,70
76,72.0,68
75,72.6,69
86,77.8,73
89,80.0,74
88,81.4,76
88,80.5,74
89,77.6,69
84,75.5,67
82,76.0,70
84,78.5,72
84,77.7,73
88,78.8,73
86,79.5,73
82,77.9,73
85,77.8,70
87,79.5,72
88,80.8,73
88,82.3,76
90,84.3,78
86,80.4,73
Max,Avg,Min
75,70.5,67
74,70.7,65
72,69.8,67
71,69.5,68
70,68.3,66
69,68.4,66
69,65.5,58
69,67.3,65
71,67.5,64
71,68.8,66
69,67.5,66
74,69.8,68
75,71.8,67
75,72.4,68
75,73.6,71
75,72.3,66
72,68.7,66
67,60.0,55
62,59.4,57
67,64.8,61
69,67.5,65
72,67.5,63
71,69.4,67
72,70.0,66
71,69.1,65
73,70.3,68
73,70.9,69
76,71.9,66
77,73.8,68
75,69.5,60
Max,Avg,Min
100,78.0,63
97,78.0,46
87,73.4,53
85,69.3,55
74,66.4,55
74,66.0,53
76,62.5,42
74,65.3,56
90,73.0,46
94,87.2,71
97,85.8,71
100,90.9,82
100,82.8,55
97,79.3,50
97,78.0,57
94,76.7,62
91,75.4,49
87,59.6,46
68,56.8,48
78,63.1,53
84,71.3,55
90,69.6,45
93,72.5,55
94,77.1,65
84,74.8,63
87,74.1,57
87,72.8,53
85,71.5,55
90,71.5,51
91,70.7,43
Max,Avg,Min
15,8.8,0
10,4.9,0
16,6.4,0
15,10.0,5
20,14.1,8
18,14.8,9
15,10.8,6
13,9.5,5
13,5.6,0
15,9.0,5
28,14.9,8
20,11.6,0
14,7.2,0
16,4.9,0
14,5.9,0
16,7.5,0
18,8.4,0
14,8.1,3
15,7.6,0
17,8.1,0
16,5.5,0
17,5.9,0
14,6.5,0
14,7.0,0
13,7.5,0
15,6.8,0
17,8.0,0
16,7.0,0
18,9.0,0
18,12.8,6
Max,Avg,Min
30.2,30.1,30.1
30.1,30.1,30.0
30.1,30.0,30.0
30.1,30.0,30.0
30.1,30.1,30.0
30.2,30.1,30.1
30.1,30.1,30.1
30.1,30.0,30.0
30.0,30.0,29.9
30.0,30.0,30.0
30.1,30.0,30.0
30.0,29.9,29.9
30.0,29.9,29.9
30.0,29.9,29.9
30.1,30.0,30.0
30.1,30.0,29.9
30.0,29.9,29.8
30.0,29.9,29.9
30.1,30.0,30.0
30.1,30.1,30.0
30.0,30.0,29.9
29.9,29.9,29.8
29.9,29.9,29.8
30.0,29.9,29.9
29.9,29.9,29.9
30.0,29.9,29.9
30.0,29.9,29.9
30.0,29.9,29.9
29.9,29.9,29.8
29.9,29.8,29.7
Total
0.00
0.51
0.00
0.00
0.00
0.00
0.00
0.04
0.00
0.00
3.31
2.10
1.97
0.00
0.20
0.00
0.32
0.00
0.00
0.00
0.00
0.20
0.01
0.03
1.18
0.00
0.00
0.00
0.00
0.08
