Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max,Avg,Min
72,64.7,56
75,68.4,62
77,68.0,57
74,67.9,62
68,63.0,60
70,61.4,57
76,64.8,56
76,67.7,59
76,71.6,68
78,73.5,70
79,74.2,72
85,77.5,72
81,74.0,63
79,68.2,58
77,71.1,66
77,72.6,67
83,75.0,66
76,69.3,63
69,62.9,58
70,62.0,54
73,63.7,55
74,65.7,56
79,68.9,56
76,68.4,60
76,65.4,54
76,67.0,57
77,69.5,59
79,73.5,69
81,73.8,66
Max,Avg,Min
54,50.5,43
59,55.5,52
62,57.4,52
64,59.9,57
62,58.0,53
58,51.6,45
55,51.0,46
62,57.8,53
58,55.7,54
65,60.4,56
70,67.6,65
71,68.1,64
73,63.4,50
61,56.8,52
60,57.5,56
64,61.5,60
69,66.6,63
73,66.8,62
61,57.1,54
53,44.3,36
50,44.2,30
59,53.1,43
60,56.3,52
65,55.6,41
49,44.0,38
55,52.0,48
60,55.5,53
65,63.0,60
68,64.8,60
Max,Avg,Min
74,60.8,45
81,63.8,53
84,69.5,56
94,76.4,63
96,84.5,59
93,71.5,53
77,62.1,43
81,71.0,55
63,57.1,51
76,63.8,52
91,79.8,68
91,74.3,49
96,72.1,37
84,67.9,54
73,62.6,50
81,68.7,58
90,75.9,60
97,91.6,87
96,82.0,65
87,55.3,33
80,53.2,22
84,64.7,48
87,66.1,46
96,68.0,29
77,48.4,26
89,60.8,41
83,62.4,48
84,70.2,58
93,74.5,49
Max,Avg,Min
10,5.2,0
10,4.3,0
15,5.2,0
23,9.7,0
13,4.4,0
16,12.0,5
17,8.8,3
15,6.8,0
15,9.8,5
17,11.7,7
17,10.9,6
20,10.2,0
12,6.8,0
13,7.4,0
13,7.5,0
13,5.8,0
13,6.1,0
20,7.8,0
15,9.1,0
12,5.4,0
13,6.8,3
8,4.2,0
17,6.7,0
13,6.0,0
9,4.6,0
14,6.0,0
16,7.8,0
18,9.6,0
13,6.1,0
Max,Avg,Min
30.1,30.1,30.0
30.0,30.0,29.9
29.9,29.9,29.8
29.8,29.7,29.6
29.6,29.6,29.5
29.9,29.7,29.6
30.1,30.0,29.9
30.2,30.2,30.1
30.3,30.2,30.1
30.2,30.1,30.1
30.1,30.0,30.0
30.0,29.9,29.9
30.1,30.0,29.9
30.2,30.1,30.1
30.2,30.1,30.1
30.1,30.0,30.0
30.0,29.9,29.8
29.9,29.8,29.7
30.2,30.0,29.8
30.3,30.2,30.1
30.2,30.2,30.1
30.1,30.1,30.0
30.0,29.9,29.9
30.1,30.0,29.9
30.2,30.1,30.1
30.2,30.2,30.1
30.2,30.1,30.1
30.2,30.1,30.1
30.2,30.2,30.1
Total
0.00
0.00
0.00
0.00
0.73
0.13
0.00
0.00
0.02
0.00
0.00
0.05
0.10
0.00
0.00
0.00
0.00
0.36
1.63
0.00
0.00
0.00
0.00
0.03
0.00
0.00
0.00
0.00
0.00
