Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
Max,Avg,Min
79,75.3,72
79,75.0,72
82,75.1,71
84,75.2,69
82,77.1,73
80,74.8,70
86,76.8,70
84,77.8,71
85,80.1,76
77,76.5,76
79,72.4,65
79,73.6,68
81,74.5,67
84,76.6,70
82,76.8,73
86,78.6,72
85,79.3,74
90,80.9,73
77,71.1,66
Max,Avg,Min
69,65.6,63
68,66.3,65
70,68.5,67
71,68.1,66
70,69.1,68
72,68.4,64
74,70.5,68
73,71.5,70
73,72.2,69
73,73.0,73
63,58.3,55
61,59.0,57
65,62.8,60
66,64.0,63
68,65.6,64
74,70.1,67
72,70.3,66
73,70.0,65
72,62.9,56
Max,Avg,Min
85,72.2,61
84,74.5,64
93,80.4,60
93,79.4,55
87,76.7,65
94,81.4,60
97,81.9,57
96,81.7,63
91,77.4,59
91,89.5,88
84,62.3,48
70,60.7,47
81,67.3,58
79,65.6,49
76,68.3,60
87,75.8,63
91,75.0,60
94,71.3,48
84,75.7,57
Max,Avg,Min
20,12.5,7
14,8.8,3
13,6.4,0
15,5.5,0
13,8.1,0
16,6.2,0
12,3.5,0
14,6.0,0
16,10.1,5
6,6.0,6
14,9.0,5
13,7.2,3
13,6.0,0
15,9.0,0
16,10.6,5
14,7.2,0
14,7.8,0
14,7.8,0
16,9.6,5
Max,Avg,Min
30.2,30.2,30.1
30.2,30.1,30.1
30.1,30.1,30.0
30.1,30.0,30.0
30.0,30.0,29.9
29.9,29.9,29.9
30.0,29.9,29.9
30.0,30.0,29.9
30.0,29.9,29.9
29.9,29.9,29.9
30.2,30.1,30.0
30.2,30.1,30.1
30.1,30.1,30.0
30.1,30.1,30.0
30.1,30.1,30.0
30.0,30.0,29.9
30.0,29.9,29.9
30.0,29.9,29.8
30.0,29.9,29.9
Total
0.00
0.00
0.00
0.20
0.06
0.00
0.11
0.08
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
