0,1,2,3,4,5,6,7,8,9,10,11,12,13
"3/5/24, 12:32 PM",,,,,,,,about:blank,,,,,
,,,,"Monthly Highest Max Temperature for Miami Area, FL (ThreadEx)",,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,84,83,91,89,93,93,95,93,92,93,88,84,95
2001,83,87,91,90,90,93,94,94,92,90,84,84,94
2002,84,84,88,91,91,92,94,95,93,92,91,86,95
2003,84,87,93,89,91,92,92,92,92,91,86,84,93
2004,84,85,85,88,93,93,95,93,92,88,86,84,95
2005,80,83,90,89,93,94,95,95,93,92,85,84,95
2006,83,84,90,92,92,93,92,96,95,91,87,84,96
2007,85,87,90,91,91,94,93,97,96,91,85,86,97
2008,84,89,91,90,96,92,92,93,91,90,88,82,96
2009,86,85,88,92,92,98,95,94,94,94,89,89,98
2010,86,83,86,89,95,95,95,96,95,90,85,85,96
2011,85,87,91,92,93,97,97,95,94,91,85,82,97
2012,85,87,86,89,93,94,93,92,92,91,83,85,94
2013,83,87,90,90,94,92,94,93,92,91,89,86,94
2014,85,86,90,90,92,93,95,94,92,94,88,84,95
2015,84,87,91,96,94,95,96,94,94,91,89,85,96
2016,84,86,91,91,93,95,93,94,93,92,85,87,95
2017,87,87,87,91,98,92,94,95,94,91,87,87,98
2018,84,85,89,91,88,94,94,94,92,91,88,87,94
2019,84,85,89,90,95,98,98,96,96,92,91,87,98
2020,87,87,92,97,94,98,98,94,93,92,87,85,98
2021,86,86,86,93,94,94,94,94,96,91,85,85,96
2022,83,85,90,92,94,92,94,96,96,91,90,85,96
2023,88,88,91,91,93,95,98,96,96,95,89,89,98
2024,87,85,85,M,M,M,M,M,M,M,M,M,87
Mean,85,86,89,91,93,94,95,94,94,91,87,85,95
,88,89,93,97,98,98,98,97,96,95,91,89,98
Max,,,,,,,,,,,,,
,2023,2008,2003,2020,2017,2020,2023,2007,2023,2023,2019,2023,2023
,80,83,85,88,88,92,92,92,91,88,83,82,87
Min,,,,,,,,,,,,,
,2005,2010,2024,2004,2018,2022,2008,2012,2008,2004,2012,2011,2024
