"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT16","WT18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-17",,,"0.06","0.0","0.0",,"74","64","    1",,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-18",,,"0.00","0.0","0.0",,"81","70","    1","    1",,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-19",,,"0.00","0.0","0.0",,"85","70",,"    1",,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-20",,,"0.00","0.0","0.0",,"84","69","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-21",,,"2.45","0.0","0.0",,"85","71","    1","    1",,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-22",,,"0.00","0.0","0.0",,"81","71","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-23",,,"0.49","0.0","0.0",,"79","71",,"    1",,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-24",,,"0.00","0.0","0.0",,"82","68","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-25",,,"0.00","0.0","0.0",,"83","65",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-26",,,"0.00","0.0","0.0",,"81","67",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-27",,,"0.63","0.0","0.0",,"82","71","    1","    1",,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-28",,,"0.00","0.0","0.0",,"90","73","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-29",,,"0.00","0.0","0.0",,"89","71",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-30",,,"0.00","0.0","0.0",,"84","71",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-07-31",,,"0.00","0.0","0.0",,"89","74",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-01",,,"0.66","0.0","0.0",,"74","70","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-02",,,"0.00","0.0","0.0",,"79","68","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-03",,,"1.90","0.0","0.0",,"75","66","    1","    1",,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-04",,,"0.01","0.0","0.0",,"75","69","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-05",,,"0.08","0.0","0.0",,"72","67","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-06",,,"0.00","0.0","0.0",,"74","62","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-07",,,"0.00","0.0","0.0",,"78","59",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-08",,,"0.00","0.0","0.0",,"77","61","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-09",,,"0.00","0.0","0.0",,"82","63",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-08-10",,,"0.00","0.0","0.0",,"80","62",,,,,,,,,,
