Time Temperature (°F) Dew Point (°F) Humidity (%) Wind Speed (mph) Pressure (in) Precipitation (in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max Avg Min
41 38.6 37
43 38.1 35
56 46.4 37
58 47.8 40
47 40.8 39
40 37.9 35
57 39.9 33
40 35.0 30
42 36.1 31
46 44.1 42
47 43.7 42
45 41.3 37
43 39.3 36
40 30.1 19
30 23.3 15
43 37.1 30
51 43.7 38
45 40.8 37
47 42.0 33
35 31.8 27
36 29.3 21
50 41.0 32
55 46.6 38
60 49.5 41
51 47.4 44
48 44.8 42
45 40.6 32
41 35.5 30
35 31.2 27
Max Avg Min
37 34.9 33
34 30.9 24
36 33.1 31
48 40.5 35
41 27.1 17
38 35.4 26
52 33.0 16
26 16.0 13
32 27.9 24
43 37.6 28
45 40.5 32
32 23.9 18
39 35.1 27
27 10.3 -2
16 6.0 -3
28 23.3 19
28 23.5 18
41 34.5 21
42 21.6 10
15 10.1 5
9 3.1 -4
9 5.7 3
29 13.6 7
37 26.3 11
43 41.3 33
43 41.9 39
42 26.9 8
13 8.3 4
15 8.5 6
Max Avg Min
93 87.0 79
87 75.9 47
89 62.1 39
86 76.7 62
82 60.0 37
97 91.0 62
97 78.5 48
75 46.8 38
82 72.7 51
93 78.4 58
97 88.9 65
82 51.4 35
93 85.7 60
65 44.7 30
58 48.1 36
73 58.2 45
62 46.5 28
96 79.2 52
86 46.2 25
50 41.0 31
55 35.1 20
35 24.3 15
51 28.0 15
66 43.7 16
93 80.4 52
100 89.8 77
100 62.7 29
47 33.0 22
49 39.0 31
Max Avg Min
8 4.8 0
15 8.7 3
14 8.4 3
13 5.4 0
17 10.5 6
18 11.7 3
33 17.1 7
25 14.0 6
15 10.4 0
15 8.6 0
20 8.3 0
25 12.4 0
25 7.7 0
28 17.5 12
15 9.8 0
13 6.5 0
15 7.3 0
16 9.5 0
22 14.5 8
20 13.3 6
16 10.0 5
15 10.3 5
14 8.0 0
14 7.3 0
10 6.7 3
17 9.1 0
32 21.3 6
25 18.7 12
24 16.6 13
Max Avg Min
30.1 29.9 29.6
29.6 29.6 29.5
29.9 29.8 29.5
29.8 29.8 29.7
30.1 30.0 29.8
29.9 29.6 29.4
29.7 29.2 28.8
30.4 30.1 29.8
30.5 30.4 30.3
30.3 29.2 0.0
30.1 29.9 29.8
30.2 30.1 29.9
29.9 29.7 29.6
30.6 30.3 29.9
30.6 30.5 30.3
30.3 30.1 30.1
30.4 30.2 30.1
30.4 30.1 30.0
30.4 30.2 30.0
30.5 30.4 30.4
30.5 30.4 30.3
30.3 30.2 30.1
30.2 30.1 30.1
30.1 30.0 29.9
29.9 29.9 29.8
29.9 29.9 29.6
29.8 29.5 29.3
29.9 29.8 29.8
30.1 29.9 29.8
Total
0.01
0.02
0.05
0.00
0.01
0.50
0.19
0.16
0.00
0.02
0.54
0.13
0.00
0.13
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.14
0.46
0.00
0.00
