Time Temperature (°F) Dew Point (°F) Humidity (%) Wind Speed (mph) Pressure (in) Precipitation (in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max Avg Min
34 30.7 26
35 32.5 30
38 33.4 30
43 37.8 33
48 42.0 37
45 40.3 34
38 33.3 28
31 25.4 19
33 30.6 26
36 30.8 27
33 28.9 26
30 26.8 22
31 28.6 26
38 32.6 28
34 33.7 32
53 40.2 34
33 29.7 24
29 27.5 25
34 31.4 28
36 32.1 28
38 31.8 26
40 35.7 33
46 41.6 38
53 47.2 42
52 45.4 41
46 40.2 35
52 44.1 37
45 41.6 39
Max Avg Min
32 27.6 22
33 27.1 22
25 22.3 19
24 20.9 18
34 29.2 18
18 14.7 11
31 26.8 11
16 7.8 4
29 23.5 15
24 17.0 10
24 19.1 9
9 4.1 -1
21 9.2 2
26 23.7 21
31 28.1 21
42 33.4 19
15 7.3 3
25 19.4 4
29 26.9 25
26 17.8 13
16 13.5 10
35 27.5 14
32 28.5 25
36 29.3 25
34 20.4 13
27 17.9 12
48 38.3 27
39 35.5 32
Max Avg Min
93 88.1 82
96 80.5 66
80 64.3 53
61 51.0 41
79 61.3 40
50 36.0 27
93 78.1 43
61 48.0 33
88 75.0 61
79 58.2 35
85 68.7 43
58 39.2 28
69 44.5 35
82 70.1 61
89 80.7 61
97 79.2 47
51 39.8 28
96 74.0 35
89 83.1 75
75 56.4 40
63 48.0 33
92 73.9 46
73 60.0 49
61 50.5 34
52 37.8 24
60 41.5 29
93 80.5 57
93 79.5 63
Max Avg Min
32 25.9 18
22 17.3 13
21 13.8 10
20 11.3 0
21 9.7 0
31 13.3 5
23 11.7 0
23 10.5 0
15 9.0 3
12 7.0 0
12 8.2 5
12 7.3 0
17 11.0 7
15 7.4 3
13 7.8 5
25 10.9 0
25 11.6 3
21 13.0 7
20 11.6 6
22 14.9 6
17 10.1 3
21 10.3 0
20 13.3 7
20 11.8 5
30 16.8 6
14 9.1 3
14 9.1 3
13 8.1 0
Max Avg Min
30.1 29.8 29.5
29.5 29.4 29.4
29.7 29.5 29.4
29.9 29.8 29.7
29.8 29.7 29.6
30.1 30.0 29.8
30.1 29.9 29.8
30.4 30.4 30.1
30.4 30.2 30.1
30.4 30.3 30.2
30.3 30.3 30.2
30.3 30.3 30.3
30.3 30.3 30.2
30.3 30.2 30.1
30.2 30.1 29.9
30.0 29.7 29.5
30.5 30.3 30.0
30.5 30.4 30.2
30.2 30.1 30.0
30.3 30.1 30.0
30.5 30.4 30.3
30.4 29.9 29.7
29.9 29.7 29.6
30.1 29.9 29.7
30.2 30.0 29.7
30.5 30.4 30.3
30.4 30.1 29.9
30.3 30.1 29.9
Total
0.19
0.75
0.02
0.00
0.00
0.06
0.00
0.39
0.00
0.01
0.10
0.00
0.00
0.00
0.00
0.83
0.03
0.00
0.34
0.08
0.00
0.00
0.56
0.01
0.00
0.00
0.06
0.41
