Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max,Avg,Min
36,30.8,25
43,38.0,32
48,45.0,41
54,37.4,28
28,25.6,21
31,25.7,17
39,35.3,31
47,38.6,35
44,37.8,32
55,45.0,35
55,47.6,37
59,53.0,42
42,32.3,27
27,22.7,19
31,25.3,18
47,38.6,28
63,54.9,48
63,46.7,28
41,32.3,25
35,29.0,22
53,41.5,33
55,43.4,36
68,55.0,36
35,31.9,30
43,33.0,27
37,30.5,24
48,38.2,30
36,31.6,28
Max,Avg,Min
25,16.9,8
38,31.8,25
45,41.5,38
50,32.1,21
21,12.7,5
21,10.6,0
36,30.7,23
34,27.9,17
33,21.9,16
35,25.9,18
34,26.7,18
32,26.8,18
28,23.4,11
6,2.2,-1
7,1.3,-3
36,24.7,9
49,42.9,36
56,30.6,6
24,11.7,3
18,8.0,2
34,23.6,18
50,39.5,31
54,40.1,17
17,11.2,5
33,25.6,12
14,11.9,10
19,14.6,11
19,4.4,-1
Max,Avg,Min
70,56.5,47
89,78.5,70
93,87.5,81
88,81.3,72
75,58.9,47
69,53.6,37
89,83.6,72
87,67.4,42
79,54.1,35
89,52.5,23
63,45.5,24
50,36.8,24
85,70.6,47
54,41.5,33
46,36.4,23
74,58.2,43
83,64.8,48
81,55.6,33
59,43.1,29
54,41.8,28
82,50.9,31
97,86.6,74
86,60.5,29
52,42.9,31
89,75.5,48
55,46.4,36
54,39.8,22
59,33.2,22
Max,Avg,Min
14,7.5,3
8,5.0,0
9,6.0,0
16,12.0,7
24,17.3,10
14,7.0,0
13,7.3,3
25,12.8,6
16,8.3,0
21,10.0,0
22,11.2,0
22,13.3,6
14,10.0,6
23,17.6,9
18,11.0,6
17,10.1,0
17,12.6,9
33,19.8,9
31,17.9,0
24,13.1,5
13,7.7,3
18,9.7,5
28,15.0,5
17,10.7,6
24,13.6,5
18,11.2,5
25,16.4,10
20,11.7,5
Max,Avg,Min
30.6,30.5,30.4
30.5,30.4,30.3
30.3,30.2,30.0
30.0,29.9,29.8
30.6,30.2,30.0
30.6,30.6,30.5
30.4,30.2,29.9
30.0,29.9,29.9
30.1,30.0,29.9
29.9,29.9,29.8
30.0,29.9,29.9
30.1,29.9,29.8
30.2,30.1,30.0
30.4,30.2,30.0
30.7,30.6,30.4
30.7,30.6,30.4
30.3,30.0,29.6
30.1,29.7,29.3
30.3,30.0,29.8
30.5,30.4,30.3
30.4,30.3,30.3
30.3,30.2,29.9
30.3,30.0,29.9
30.5,30.4,30.3
30.3,30.1,29.9
30.5,30.3,30.2
30.2,30.0,29.8
30.3,30.2,30.0
Total
0.00
0.00
0.02
0.62
0.52
0.00
0.00
0.23
0.00
0.00
0.00
0.00
0.12
0.07
0.00
0.00
0.00
0.55
0.00
0.00
0.00
0.00
0.23
0.00
0.52
0.30
0.00
0.00
