Time Temperature (°F) Dew Point (°F) Humidity (%) Wind Speed (mph) Pressure (in) Precipitation (in)
Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
61 53.0 44
53 44.9 39
46 44.4 42
53 46.8 40
55 49.1 44
52 47.8 44
56 50.3 46
64 54.6 50
55 51.5 49
49 46.4 43
59 49.0 42
70 58.6 50
69 59.5 50
70 61.4 56
68 59.7 52
69 57.5 46
50 46.1 43
52 45.7 42
50 45.2 40
59 50.1 43
57 51.5 45
67 59.5 53
60 55.0 50
59 54.1 49
57 51.5 46
57 52.9 50
59 50.8 43
56 47.8 41
61 52.0 43
65 55.4 47
Max Avg Min
55 39.3 20
35 23.3 18
39 35.3 29
30 27.3 24
41 31.6 23
47 43.6 40
52 45.9 37
51 39.8 22
41 36.2 31
36 27.7 23
39 28.0 20
47 40.2 34
53 46.7 40
56 48.7 32
35 25.4 12
47 35.6 25
38 24.2 17
39 27.3 20
43 34.1 23
36 25.4 19
42 37.3 29
45 33.2 22
39 33.0 29
43 33.6 23
40 34.8 28
52 46.5 38
54 30.0 21
26 17.0 10
17 11.5 5
31 20.5 17
Max Avg Min
90 62.9 29
71 44.2 25
82 70.8 60
65 48.0 32
83 53.3 31
93 85.6 77
94 84.9 71
93 63.5 20
74 56.6 43
63 49.1 36
63 45.8 23
74 52.6 27
77 63.5 40
80 64.2 35
53 29.2 13
79 47.0 29
74 44.9 27
87 50.5 32
93 68.6 35
59 40.0 22
83 60.3 34
67 40.9 19
55 44.1 31
77 47.8 32
66 53.8 39
89 79.5 57
83 46.8 28
55 32.3 16
32 21.1 11
43 26.4 18
Max Avg Min
28 15.2 0
24 14.2 5
22 8.7 0
20 12.8 7
14 7.6 0
29 16.5 5
31 16.8 3
16 9.9 0
18 10.2 0
24 17.3 9
18 10.7 3
14 8.0 0
15 7.5 0
28 10.7 3
26 12.3 0
22 13.2 7
24 15.8 7
24 13.2 3
29 20.2 12
23 12.7 0
23 12.0 3
20 11.1 0
13 7.0 0
15 9.8 5
12 9.4 5
17 9.0 0
26 20.8 12
28 21.2 13
22 17.2 13
14 8.3 3
Max Avg Min
29.9 29.6 29.4
30.1 30.0 29.9
29.9 29.8 29.7
30.0 29.9 29.8
30.1 30.0 29.9
29.9 29.8 29.7
29.9 29.7 29.5
29.7 29.6 29.4
29.7 29.6 29.6
29.9 29.8 29.6
30.1 30.1 30.0
30.1 30.0 29.9
30.1 30.0 29.8
29.9 29.8 29.7
30.1 30.1 29.9
30.0 29.9 29.7
30.3 30.1 29.9
30.4 30.2 29.8
30.0 29.6 29.4
30.5 30.3 30.0
30.5 30.4 30.3
30.4 30.3 30.3
30.4 30.3 30.2
30.2 30.2 30.2
30.3 30.2 30.2
30.2 30.0 29.9
30.0 29.9 29.9
30.1 30.0 29.9
30.1 30.0 30.0
30.1 30.1 30.0
Total
0.31
0.00
0.00
0.09
0.00
0.28
0.14
1.01
0.00
0.02
0.00
0.01
0.03
0.00
0.11
0.00
0.14
0.00
2.06
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.05
0.00
0.00
0.00
