Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max,Avg,Min
44,40.0,34
52,44.1,39
44,40.9,38
45,41.8,39
53,44.7,39
53,46.4,41
47,38.1,33
47,38.7,32
50,41.5,34
45,40.2,35
43,40.3,37
38,37.5,37
45,41.5,39
40,36.8,35
45,39.0,35
59,46.1,36
59,52.6,45
56,48.4,43
42,36.2,31
49,41.5,34
62,51.9,41
58,51.5,48
61,53.2,46
54,49.3,44
46,43.2,42
63,52.7,43
57,48.9,44
51,46.2,42
54,46.5,40
46,39.4,32
53,46.7,38
Max,Avg,Min
37,30.6,24
41,35.7,25
38,27.2,21
39,34.9,29
29,27.3,26
26,20.2,0
29,22.0,7
24,21.0,16
26,23.8,22
37,29.0,23
37,33.0,26
28,28.0,28
38,36.0,31
35,28.5,22
22,20.4,12
30,15.0,8
40,29.2,15
42,24.4,12
16,7.9,4
29,14.4,6
24,14.4,6
45,31.2,16
52,46.6,42
41,29.0,24
39,35.5,29
42,28.4,15
38,29.6,17
38,31.8,20
32,21.4,8
32,15.9,10
45,29.3,9
Max,Avg,Min
93,70.1,47
96,74.9,40
82,59.5,40
89,76.9,63
65,51.5,37
55,37.0,0
82,56.2,21
59,49.6,41
62,50.3,38
86,64.8,53
89,76.1,55
70,69.0,68
87,80.8,65
87,72.7,57
57,48.2,36
44,29.5,19
54,41.6,22
66,41.8,22
52,31.3,25
55,34.4,19
42,24.7,12
83,50.0,25
93,78.7,60
64,46.5,31
89,75.0,55
93,47.7,17
79,50.8,21
79,59.9,31
60,39.8,17
76,41.1,24
74,52.0,26
Max,Avg,Min
14,8.6,5
22,10.5,0
23,13.8,6
30,16.7,8
25,15.4,7
23,13.9,8
29,16.1,7
25,16.9,12
21,14.3,9
14,8.6,5
22,15.9,10
14,12.0,10
20,12.9,6
29,21.8,14
33,26.3,17
16,10.0,0
13,7.7,3
22,14.0,3
25,17.2,6
15,9.5,5
17,9.2,0
20,11.0,3
18,9.0,3
18,9.1,0
23,15.1,5
18,10.2,0
17,9.8,0
14,7.7,3
20,8.9,0
30,16.9,6
18,8.0,0
Max,Avg,Min
30.1,30.0,29.9
29.9,29.7,29.6
30.1,29.9,29.6
30.0,29.6,29.3
30.2,30.1,30.0
30.2,30.0,29.8
30.0,29.8,29.8
30.2,30.1,30.0
30.2,30.1,30.1
30.1,29.9,29.6
30.0,29.7,29.6
30.0,30.0,29.9
30.0,29.9,29.7
29.6,29.5,29.4
30.0,29.8,29.6
30.1,30.0,29.9
29.9,29.7,29.5
29.8,29.7,29.6
30.2,30.0,29.8
30.3,30.2,30.2
30.4,30.3,30.3
30.4,30.3,30.1
30.1,29.9,29.7
30.0,29.9,29.8
30.1,29.9,29.7
30.0,29.8,29.7
30.1,30.0,29.9
30.1,30.0,30.0
30.2,30.1,30.0
30.3,30.2,30.0
30.3,30.2,29.9
Total
0.05
0.01
0.00
1.26
0.02
0.00
0.05
0.00
0.00
0.00
0.50
0.00
0.04
0.77
0.01
0.00
0.00
0.01
0.00
0.00
0.00
0.00
0.00
0.07
0.00
0.17
0.00
0.20
0.00
0.03
0.00
