Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max,Avg,Min
71,58.4,53
52,46.7,41
56,48.0,38
71,57.4,46
54,48.8,45
77,56.6,45
59,52.8,45
51,45.1,39
54,46.4,42
64,52.8,44
74,64.1,52
82,73.1,66
89,78.5,65
88,77.8,67
73,62.5,54
67,58.6,53
68,56.4,51
57,52.6,47
64,52.8,46
62,52.7,45
69,57.7,51
68,54.8,50
67,57.6,53
61,53.5,46
58,53.5,47
58,52.6,48
57,53.1,51
56,51.7,49
53,50.5,48
62,54.6,50
Max,Avg,Min
58,47.6,41
33,16.8,5
40,25.7,7
54,47.1,41
50,44.4,42
55,48.1,42
43,20.8,14
25,17.7,12
31,25.1,12
38,29.5,21
28,23.4,15
41,33.5,25
42,40.0,38
50,42.3,39
58,53.9,46
56,53.2,50
52,45.3,28
32,28.0,23
40,29.8,24
42,35.4,32
51,46.7,42
57,51.0,47
54,50.1,35
38,33.3,26
36,31.9,27
46,38.3,29
48,44.6,41
47,41.8,34
51,48.3,45
60,53.7,50
Max,Avg,Min
87,68.8,35
53,33.1,15
63,43.0,25
86,69.9,47
93,84.7,74
96,76.1,46
55,29.0,22
44,34.2,22
58,44.8,19
65,43.8,19
38,23.2,11
34,23.7,16
43,26.4,16
44,28.8,19
93,74.4,38
97,82.8,63
94,72.4,27
48,39.2,28
66,42.5,28
71,52.9,35
83,67.7,45
100,87.2,68
100,78.7,44
66,48.4,27
59,44.6,33
80,59.1,43
89,73.3,62
89,70.8,45
97,92.2,87
100,96.7,90
Max,Avg,Min
24,12.4,0
30,18.5,8
21,11.0,5
14,7.1,0
17,13.1,6
22,7.8,0
23,15.2,10
18,9.0,3
16,9.8,3
15,8.3,5
16,10.0,5
22,12.5,0
17,9.1,0
17,7.8,0
15,8.6,5
13,7.6,0
21,10.8,5
24,16.7,10
18,11.4,6
12,8.4,3
17,10.8,0
21,14.5,6
17,8.5,0
16,8.9,0
10,6.2,0
13,8.8,3
12,7.8,0
17,11.6,6
22,16.1,10
18,12.2,0
Max,Avg,Min
29.8,29.5,29.3
30.1,29.9,29.5
30.2,30.1,30.0
30.1,30.0,30.0
30.3,30.2,30.1
30.2,30.1,30.0
30.4,30.3,30.2
30.5,30.4,30.4
30.5,30.5,30.4
30.5,30.4,30.3
30.2,30.1,29.9
29.9,29.8,29.7
29.9,29.8,29.8
29.9,29.8,29.8
29.9,29.9,29.8
29.9,29.8,29.7
29.7,29.6,29.5
29.9,29.8,29.7
30.1,30.0,29.9
30.2,30.2,30.1
30.1,30.0,30.0
30.0,29.9,29.8
30.0,29.8,29.8
30.1,30.0,30.0
30.2,30.1,30.1
30.2,30.2,30.1
30.2,30.2,30.2
30.2,30.1,30.0
30.0,29.9,29.8
29.8,29.5,29.0
Total
0.01
0.35
0.00
0.00
0.00
0.01
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.01
0.00
0.00
0.00
0.00
1.84
0.10
0.00
0.00
0.00
0.00
1.72
1.12
