Time,Temperature,(°F),Dew,Point,(°F),Humidity,(%),Wind,Speed,(mph),Pressure,(in),Precipitation,(in)
Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
Max,Avg,Min
43,37.8,31
54,46.4,41
66,53.9,46
58,49.5,45
49,43.7,41
51,47.2,44
53,49.2,44
54,45.7,41
47,43.5,41
45,44.7,44
51,43.1,36
64,53.9,45
60,49.8,0
71,55.1,44
69,59.4,51
58,52.2,47
61,54.4,50
49,46.3,43
Max,Avg,Min
32,18.1,10
51,42.7,33
45,44.0,42
44,41.2,39
44,40.1,38
45,43.0,40
47,41.7,34
33,28.7,21
44,36.4,31
43,42.3,41
23,18.6,12
30,23.9,14
39,30.8,0
41,38.1,34
50,42.0,38
39,35.5,30
42,32.0,22
28,22.5,17
Max,Avg,Min
67,45.9,31
93,86.9,70
93,71.1,46
86,73.8,57
93,87.2,77
90,85.3,80
93,76.0,61
68,53.3,30
90,76.3,65
93,91.7,89
59,39.7,21
38,31.5,26
76,47.0,0
82,56.6,27
74,53.3,36
66,53.9,35
71,45.3,22
46,39.5,28
Max,Avg,Min
18,10.2,0
29,11.0,0
13,7.3,0
15,10.1,3
24,12.4,0
23,9.9,0
20,14.4,5
16,9.8,0
29,14.8,6
15,8.0,3
38,25.1,16
21,14.0,5
14,6.0,0
15,7.2,0
23,11.4,0
749,39.8,0
23,12.6,7
18,13.3,8
Max,Avg,Min
30.6,30.6,30.5
30.5,30.2,30.0
30.3,30.1,30.0
30.4,30.3,30.3
30.3,30.1,30.0
30.0,29.9,29.7
30.1,29.8,29.6
30.3,30.3,30.1
30.3,30.0,29.4
29.4,29.4,29.4
29.8,29.6,29.5
29.8,29.8,29.7
29.9,28.6,0.0
30.0,30.0,29.9
29.9,29.7,29.6
29.9,29.7,29.0
29.7,29.6,29.5
29.7,29.7,29.6
Total
0.00
0.00
1.40
0.00
0.06
0.41
1.71
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
